Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q2_abscissa,Q2_cdf,V2_abscissa,V2_cdf,Q3_abscissa,Q3_cdf,V3_abscissa,V3_cdf,split
3.99321,0,55.3258,0,12.7743,0,1.90579,0.00714286,0.298084,0,0.526206,0,All
6.03988,0.00714286,55.3484,0.00714286,12.7784,0.00714286,2.31161,0.0142857,0.298158,0.00714286,0.526446,0.00714286,All
6.26472,0.0142857,55.3484,0.0142857,12.7784,0.0142857,2.52047,0.0214286,0.298158,0.0142857,0.526446,0.0142857,All
6.60362,0.0214286,55.3484,0.0214286,12.7784,0.0214286,3.18258,0.0285714,0.298158,0.0214286,0.526446,0.0214286,All
6.60772,0.0285714,55.3484,0.0285714,12.7784,0.0285714,4.00577,0.0357143,0.298158,0.0285714,0.526446,0.0285714,All
6.61198,0.0357143,55.3484,0.0357143,12.7784,0.0357143,4.17494,0.0428571,0.298158,0.0357143,0.526446,0.0357143,All
6.73434,0.0428571,55.3484,0.0428571,12.7784,0.0428571,5.15827,0.05,0.298158,0.0428571,0.526446,0.0428571,All
6.74846,0.05,55.3484,0.05,12.7784,0.05,6.37622,0.0571429,0.298158,0.05,0.526446,0.05,All
6.8027,0.0571429,55.3484,0.0571429,12.7784,0.0571429,6.48625,0.0642857,0.298158,0.0571429,0.526446,0.0571429,All
7.03962,0.0642857,55.3484,0.0642857,12.7784,0.0642857,6.85326,0.0714286,0.298158,0.0642857,0.526446,0.0642857,All
7.05321,0.0714286,55.3484,0.0714286,12.7784,0.0714286,7.06641,0.0785714,0.298158,0.0714286,0.526446,0.0714286,All
7.07588,0.0785714,55.3484,0.0785714,12.7784,0.0785714,7.19994,0.0857143,0.298158,0.0785714,0.526446,0.0785714,All
7.36614,0.0857143,55.3484,0.0857143,12.7784,0.0857143,7.53064,0.0928571,0.298158,0.0857143,0.526446,0.0857143,All
7.51431,0.0928571,55.3484,0.0928571,12.7784,0.0928571,7.73403,0.1,0.298158,0.0928571,0.526446,0.0928571,All
7.54024,0.1,55.3484,0.1,12.7784,0.1,8.09539,0.107143,0.298158,0.1,0.526446,0.1,All
7.62445,0.107143,55.3484,0.107143,12.7784,0.107143,8.24413,0.114286,0.298158,0.107143,0.526446,0.107143,All
7.7714,0.114286,55.3484,0.114286,12.7784,0.114286,8.26042,0.121429,0.298158,0.114286,0.526446,0.114286,All
7.86758,0.121429,55.3484,0.121429,12.7784,0.121429,10.0949,0.128571,0.298158,0.121429,0.526446,0.121429,All
7.9099,0.128571,55.3484,0.128571,12.7784,0.128571,11.7154,0.135714,0.298158,0.128571,0.526446,0.128571,All
7.99184,0.135714,55.3484,0.135714,12.7784,0.135714,12.0548,0.142857,0.298158,0.135714,0.526446,0.135714,All
8.15436,0.142857,55.3484,0.142857,12.7784,0.142857,12.7922,0.15,0.298158,0.142857,0.526446,0.142857,All
8.20254,0.15,55.3484,0.15,12.7784,0.15,14.2806,0.157143,0.298158,0.15,0.526446,0.15,All
8.21477,0.157143,55.3484,0.157143,12.7784,0.157143,15.356,0.164286,0.298158,0.157143,0.526446,0.157143,All
8.26596,0.164286,55.3484,0.164286,12.7784,0.164286,15.3925,0.171429,0.298158,0.164286,0.526446,0.164286,All
8.33882,0.171429,55.3484,0.171429,12.7784,0.171429,15.9266,0.178571,0.298158,0.171429,0.526446,0.171429,All
8.35006,0.178571,55.3484,0.178571,12.7784,0.178571,17.6048,0.185714,0.298158,0.178571,0.526446,0.178571,All
8.36814,0.185714,55.3484,0.185714,12.7784,0.185714,17.9784,0.192857,0.298158,0.185714,0.526446,0.185714,All
8.37823,0.192857,55.3484,0.192857,12.7784,0.192857,19.3682,0.2,0.298158,0.192857,0.526446,0.192857,All
8.38557,0.2,55.3484,0.2,12.7784,0.2,21.5113,0.207143,0.298158,0.2,0.526446,0.2,All
8.41714,0.207143,55.3484,0.207143,12.7784,0.207143,21.5236,0.214286,0.298158,0.207143,0.526446,0.207143,All
8.42226,0.214286,55.3484,0.214286,12.7784,0.214286,22.1019,0.221429,0.298158,0.214286,0.526446,0.214286,All
8.43757,0.221429,55.3484,0.221429,12.7784,0.221429,23.1491,0.228571,0.298158,0.221429,0.526446,0.221429,All
8.4841,0.228571,55.3484,0.228571,12.7784,0.228571,23.217,0.235714,0.298158,0.228571,0.526446,0.228571,All
8.49962,0.235714,55.3484,0.235714,12.7784,0.235714,23.2939,0.242857,0.298158,0.235714,0.526446,0.235714,All
8.56467,0.242857,55.3484,0.242857,12.7784,0.242857,23.7722,0.25,0.298158,0.242857,0.526446,0.242857,All
8.56941,0.25,55.3484,0.25,12.7784,0.25,24.3252,0.257143,0.298158,0.25,0.526446,0.25,All
8.69207,0.257143,55.3484,0.257143,12.7784,0.257143,24.5699,0.264286,0.298158,0.257143,0.526446,0.257143,All
8.72059,0.264286,55.3484,0.264286,12.7784,0.264286,24.9829,0.271429,0.298158,0.264286,0.526446,0.264286,All
8.9548,0.271429,55.3484,0.271429,12.7784,0.271429,25.1079,0.278571,0.298158,0.271429,0.526446,0.271429,All
