iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a1,a2
1,1611.03,1,10.2275,43.2233,11.1604,60.344,1,1,1,1,1,1
2,1583.84,1,4.58092,36.6361,13.426,64.0303,0.974679,0.974679,0.974679,1.07129,0.974679,0.974679
3,1562.59,1,4.51391,32.7911,14.4641,93.1108,0.95,0.95,1.0062,1.04416,0.95,0.95
4,1561.01,1,3.95573,34.5486,17.7146,115.576,0.925945,0.925945,0.980721,1.01772,0.925945,0.925945
5,1551.38,1,4.14179,36.3252,17.0579,118.633,0.9025,0.9025,0.960241,0.991953,0.9025,0.9025
6,1534.7,1,4.14554,36.0223,13.552,113.386,0.879648,0.879648,0.949075,0.966836,0.879648,0.879648
7,1524.79,1,3.7728,41.7425,13.022,110.179,0.857375,0.857375,1.02042,0.942355,0.857375,0.857375
8,1512.03,1,4.05483,41.3546,12.8156,91.355,0.835666,0.835666,0.994586,0.989805,0.835666,0.835666
9,1514.76,1,4.2368,38.8681,9.16232,92.6303,0.814506,0.814506,1.10898,0.964743,0.814506,0.814506
10,1504.96,1,3.82915,36.7629,9.29335,92.6003,0.793882,0.793882,1.11522,1.02089,0.793882,0.793882
11,1490,1,4.52504,34.857,6.94231,92.3927,0.773781,0.773781,1.16346,1.18429,0.773781,0.773781
12,1479.71,1,4.29982,38.6288,7.02547,81.1085,0.754188,0.754188,1.134,1.16787,0.754188,0.754188
13,1477.3,1,4.0426,32.4374,8.55991,93.8518,0.735092,0.735092,1.10529,1.27412,0.735092,0.735092
14,1465.23,1,4.09185,36.0138,8.59715,82.4281,0.716479,0.716479,1.0773,1.30181,0.716479,0.716479
15,1441.9,1,4.0737,34.1913,9.66937,90.7793,0.698337,0.698337,1.05002,1.2783,0.698337,0.698337
16,1445.84,1,4.21898,34.4393,11.1518,85.7258,0.680655,0.680655,1.02343,1.24593,0.680655,0.680655
17,1416.38,1,4.30799,29.1975,8.92326,98.8305,0.66342,0.66342,0.99752,1.21438,0.66342,0.66342
18,1402.86,1,4.16451,29.0564,8.22682,81.7188,0.646622,0.646622,0.972262,1.32317,0.646622,0.646622
19,1397.73,1,4.2709,28.578,8.121,79.1975,0.630249,0.630249,0.947644,1.28966,0.630249,0.630249
20,1374.32,1,4.40664,30.7522,8.2147,82.9284,0.614291,0.614291,0.923649,1.25701,0.614291,0.614291
21,1367.91,1,4.54072,32.2147,8.68702,66.0901,0.598737,0.598737,0.900262,1.22518,0.598737,0.598737
22,1348.82,1,4.76991,30.0315,8.38468,64.8196,0.583577,0.583577,0.877467,1.19416,0.583577,0.583577
23,1352.25,1,4.87417,26.4862,6.8896,57.7176,0.5688,0.5688,0.980195,1.16392,0.5688,0.5688
24,1338.36,1,4.57484,32.19,6.59985,64.5084,0.554398,0.554398,0.955376,1.20612,0.554398,0.554398
25,1336.2,1,4.68292,29.0788,6.97047,71.8213,0.54036,0.54036,0.931186,1.2046,0.54036,0.54036
