iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
1,1241.14,1,10.2275,11.1604,43.2233,60.344,1,1,0.3,0.3,0.8,1,1,1,1,1
2,1236.65,1,9.97361,12.018,42.4603,86.3128,0.95,0.95,0.285,0.285,0.962348,0.974679,0.986465,0.974679,0.987526,0.974679
3,1208.82,1,10.0178,11.5215,43.2238,85.0676,0.9025,0.9025,0.27075,0.27075,0.961453,0.95,0.982451,0.95,1.05374,0.95
4,1190.16,1,10.0351,11.3961,46.4757,74.6247,0.857375,0.857375,0.257212,0.257212,0.94317,0.925945,0.957575,0.925945,1.14889,0.925945
5,1178.95,1,9.62691,10.2309,47.2377,73.8425,0.814506,0.814506,0.244352,0.244352,0.907784,0.9025,1.01701,0.9025,1.1198,0.9025
6,1155.99,1,9.59291,11.9733,41.7095,70.5804,0.773781,0.773781,0.232134,0.232134,0.922725,0.879648,0.994928,0.879648,1.09145,0.879648
7,1140.04,1,9.37353,11.1054,43.6761,61.8117,0.735092,0.735092,0.220528,0.220528,0.927064,0.857375,0.999506,0.857375,1.17251,0.857375
8,1119.92,1,9.47881,11.3745,45.363,63.0786,0.698337,0.698337,0.209501,0.209501,0.931875,0.835666,0.974198,0.835666,1.14283,0.835666
9,1113.23,1,9.47388,11.7841,43.4306,71.0075,0.66342,0.66342,0.199026,0.199026,0.916576,0.814506,0.949531,0.814506,1.11389,0.814506
10,1083.26,1,9.41031,11.7313,44.8165,68.3068,0.630249,0.630249,0.189075,0.189075,0.927756,0.793882,1.03901,0.793882,1.08887,0.793882
11,1073.45,1,9.48303,11.2403,43.4961,56.053,0.598737,0.598737,0.179621,0.179621,0.938335,0.773781,1.13685,0.773781,1.16277,0.773781
12,1064.76,1,9.21362,11.4903,43.6357,57.3085,0.5688,0.5688,0.17064,0.17064,0.94338,0.754188,1.12295,0.754188,1.2569,0.754188
13,1049.03,1,9.39323,12.2342,42.9536,63.9758,0.54036,0.54036,0.162108,0.162108,0.959626,0.735092,1.09452,0.735092,1.22746,0.735092
14,1028.77,1,9.53299,13.3766,42.0687,58.9506,0.513342,0.513342,0.154003,0.154003,0.953108,0.716479,1.0668,0.716479,1.19638,0.716479
15,1019.67,1,9.43242,16.0798,41.8191,63.8921,0.487675,0.487675,0.146302,0.146302,0.936317,0.698337,1.03979,0.698337,1.27399,0.698337
16,1009.07,1,9.34796,13.8374,43.0194,63.2264,0.463291,0.463291,0.138987,0.138987,0.941822,0.680655,1.01346,0.680655,1.32087,0.680655
17,1000.9,1,9.30542,14.0819,43.0832,59.2968,0.440127,0.440127,0.132038,0.132038,0.94318,0.66342,1.02198,0.66342,1.29471,0.66342
18,989.501,1,9.47699,12.3564,43.9669,60.3628,0.41812,0.26911,0.125436,0.13507,0.954797,0.646622,1.02302,0.646622,1.26192,0.646622
19,986.546,1,9.41378,12.8898,43.219,67.1097,0.100075,0.182395,0.135601,0.138639,0.946275,0.630249,1.08675,0.630249,1.22997,0.630249
20,982.891,1,9.56463,12.5961,43.1709,56.25,0.149262,0.254056,0.127432,0.139229,0.949622,0.614291,1.06388,0.614291,1.19883,0.614291
21,961.803,1,9.48498,13.8152,45.1368,58.0948,0.141799,0.3821,0.12106,0.126958,0.957017,0.598737,1.03694,0.598737,1.20963,0.598737
22,953.823,1,9.43897,12.4607,44.1094,59.8923,2.22045e-16,0.452797,0.123593,0.127121,0.95223,0.583577,1.01068,0.583577,1.18261,0.583577
23,946.608,1,9.39302,13.3677,43.6163,63.2866,2.10942e-16,0.436731,0.117414,0.132198,0.938679,0.5688,0.985093,0.5688,1.15267,0.5688
24,939.162,1,9.39492,13.3519,42.9836,64.1114,2.22045e-16,0.295675,0.112375,0.14479,0.93728,0.554398,0.960149,0.554398,1.12478,0.554398
25,930.619,1,9.48216,12.4918,42.4225,57.7224,2.22045e-16,0.233059,0.109509,0.147449,0.949767,0.54036,0.935838,0.54036,1.11112,0.54036
26,923.977,1,9.52898,12.4208,40.8334,56.7641,2.22045e-16,0.264981,0.104067,0.147385,0.963135,0.526678,0.912142,0.526678,1.11664,0.526678
27,919.525,1,9.63996,12.4249,42.1316,56.8783,2.22045e-16,0.305711,0.104302,0.145372,0.958213,0.513342,0.889046,0.513342,1.10056,0.513342
28,929.525,1,9.60904,14.1851,41.503,53.9234,2.22045e-16,0.286381,0.108559,0.145244,0.963807,0.500344,0.866535,0.500344,1.16065,0.500344
29,919.248,1,9.58651,13.8212,41.3325,55.3521,2.22045e-16,0.26662,0.110007,0.141091,0.952549,0.487675,0.844594,0.487675,1.15183,0.487675
30,910.106,1,9.64205,14.3863,41.6181,49.9957,2.22045e-16,0.325265,0.104978,0.140475,0.957504,0.475327,0.823208,0.475327,1.14635,0.475327
31,907.527,1,9.63398,14.2908,42.1564,52.2117,2.22045e-16,0.377653,0.104265,0.133166,0.964323,0.463291,0.802364,0.463291,1.19508,0.463291
32,905.661,1,9.63346,13.9733,42.2896,56.3296,2.22045e-16,0.277572,0.103783,0.146111,0.959696,0.45156,0.782048,0.45156,1.18966,0.45156
33,900.737,1,9.65759,12.5638,43.2111,53.2516,2.22045e-16,0.270828,0.10228,0.147717,0.947661,0.440127,0.762246,0.440127,1.24035,0.440127
34,908.482,1,9.69039,11.9584,44.0306,52.0541,2.22045e-16,0.256425,0.10742,0.149492,0.955625,0.428982,0.742945,0.428982,1.20894,0.428982
35,900.723,1,9.64658,12.0156,44.2041,53.574,2.22045e-16,0.264625,0.106556,0.143143,0.957603,0.41812,0.724134,0.41812,1.18372,0.41812
36,897.064,1,9.61524,11.4394,44.1497,54.2606,2.10942e-16,0.358596,0.101228,0.14388,0.958641,0.407533,0.705798,0.407533,1.15629,0.407533
37,895.728,1,9.62195,11.5599,43.6046,59.0774,2.22045e-16,0.309804,0.0998303,0.149867,0.962975,0.397214,0.687927,0.397214,1.18286,0.397214
38,896.022,1,9.7575,11.7024,43.293,52.9736,2.22045e-16,0.319759,0.103701,0.146847,0.956752,0.387157,0.670508,0.387157,1.20161,0.387157
39,891.546,1,9.70988,11.0396,43.4376,56.7677,2.22045e-16,0.281776,0.102623,0.148855,0.966651,0.377354,0.653531,0.377354,1.17119,0.377354
40,883.754,1,9.70375,11.3313,43.9401,56.3907,2.22045e-16,0.309533,0.0997603,0.14839,0.959671,0.367799,0.636983,0.367799,1.14153,0.367799
