Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
2.75585,0.204652,12.3799,0.0252675,2.32692,0.114945,15.9026,0.00634602,All
3.13396,0.143257,14.8299,0.0347428,5.01973,0.10345,18.3414,0.015865,All
3.51207,0.0613957,17.2799,0.0379012,7.71253,0.0977029,20.7801,0.0475951,All
3.89018,0,19.7298,0.0947531,10.4053,0.0431042,23.2188,0.0507682,All
4.26828,0.0204652,22.1798,0.0821193,13.0982,0.0201153,25.6575,0.0920173,All
4.64639,0.306979,24.6298,0.104228,15.791,0.00862085,28.0963,0.0666332,All
5.0245,0.573027,27.0798,0.0347428,18.4838,0.00287362,30.535,0.0698062,All
5.40261,0.163722,29.5298,0.00947531,21.1766,0,32.9737,0.0380761,All
5.78072,0.42977,31.9797,0.00315844,23.8694,0.00574723,35.4124,0.0285571,All
6.15883,0.450235,34.4297,0.00631687,26.5622,0,37.8512,0.0190381,All
6.53694,0.450235,36.8797,0.00631687,29.255,0,40.2899,0.00317301,All
6.91505,0.0613957,39.3297,0.00315844,31.9478,0.00574723,42.7286,0.00634602,All
