iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
1,2030.05,1,15.5309,18.8442,40.7043,48.0097,3,3,0,1.5,1.5,1.5,1.5
2,2000.46,1,9.1033,24.5568,45.2904,70.5983,2.92404,2.92404,0,1.46202,1.5937,1.60592,1.46202
3,1993.45,1,8.43012,28.2584,47.8492,120.285,2.85,2.85,0,1.425,1.68948,1.56525,1.57739
4,1972.95,1,5.81879,30.8522,67.705,207.267,2.77784,2.77784,0,1.38892,1.6467,1.54007,1.53745
5,1967.18,1,5.55152,30.8293,106.526,226.889,2.7075,2.7075,0,1.35375,1.605,1.50108,1.49852
6,1962.64,1,5.36587,24.0938,86.3403,251.114,2.63894,2.63894,0,1.31947,1.56547,1.5796,1.46057
7,1944.46,1,4.85739,22.5859,116.168,290.804,2.57212,2.57212,0,1.28606,1.52583,1.5396,1.42359
8,1926.88,1,4.60817,25.4966,126.972,284.238,2.507,2.507,0,1.2535,1.4872,1.50062,1.38755
9,1936.94,1,4.57901,17.6792,154.913,272.376,2.44352,2.44352,0,1.22176,1.75108,1.46262,1.40678
10,1925.01,1,3.5951,16.5394,129.632,336.824,2.38165,2.38165,0,1.20697,1.8304,1.42559,1.37116
11,1914.61,1,4.33973,11.5256,169.127,377.564,2.32134,2.32134,0,1.19386,1.8013,1.38949,1.41683
12,1895.75,1,4.07679,11.195,159.986,329.776,2.26257,2.26257,0,1.16363,1.83046,1.35431,1.38096
13,1892.96,1,4.75837,17.2133,124.89,527.645,2.20528,2.20528,0,1.13416,1.86538,1.32002,1.52896
14,1880.12,1,4.20597,11.438,139.962,670.124,2.14944,2.14944,0,1.10545,1.99772,1.28659,1.49024
15,1863.96,1,3.49619,13.0877,123.565,683.885,2.09501,2.09501,0,1.07746,1.94713,1.25402,1.45251
16,1853.99,1,3.42356,20.4208,116.612,476.855,2.04197,2.04197,0,1.05017,1.89783,1.22226,1.41573
17,1838.83,1,3.48618,14.7305,109.589,625.058,1.99026,1.99026,0,1.02358,1.84978,1.19132,1.37988
18,1836.15,1,3.84525,15.362,92.8527,540.185,1.93987,1.93987,0,0.997665,1.80294,1.21226,1.38336
19,1807.75,1,4.34181,16.0407,100.234,520.526,1.89075,1.89075,0,0.972403,1.75729,1.18157,1.34833
20,1802.63,1,4.70591,12.8853,88.0879,478.107,1.84287,1.84287,0,0.947781,1.71279,1.15165,1.31419
21,1803.6,1,5.04769,18.9633,94.6695,386.552,1.79621,1.79621,0,0.923783,1.79804,1.12249,1.28091
22,1774.52,1,5.29027,20.4642,78.8984,441.65,1.75073,1.75073,0,0.900392,1.75251,1.09407,1.24848
23,1780.13,1,4.90168,16.0836,69.2054,515.112,1.7064,1.7064,0,0.877594,2.04446,1.11486,1.21687
24,1763.03,1,5.39483,16.2756,74.2129,557.642,1.66319,1.66319,0,0.855373,2.01442,1.08663,1.18606
25,1748.33,1,7.17492,17.0719,60.8618,513.459,1.62108,1.62108,0,0.833714,1.96342,1.05911,1.15602
26,1729.07,1,7.47957,22.9282,63.0685,408.893,1.58003,1.58003,0,0.812604,1.9137,1.0323,1.12675
27,1729.93,1,7.40132,27.0285,63.2556,326.811,1.54003,1.54003,0,0.792028,1.93746,1.00616,1.09822
28,1713.44,1,7.02339,18.3828,95.6627,277.161,1.50103,1.50103,0,0.771974,1.8884,1.05453,1.07042
29,1710.05,1,7.12118,13.9066,71.2363,250.013,1.46302,1.46302,0,0.752427,1.84059,1.02783,1.11178
30,1687.78,1,8.42643,11.6716,64.4496,308.33,1.42598,1.42598,0,0.733375,1.79398,1.0018,1.08363
31,1684.74,1,7.75388,8.81199,70.5358,301.661,1.38987,1.38987,0,0.714806,1.74856,0.976436,1.10475
32,1674.31,1,7.46378,10.1821,61.0759,268.446,1.35468,1.35468,0,0.696706,1.70429,0.951712,1.09342
33,1670.26,1,7.63287,12.5502,55.3629,220.553,1.32038,1.32038,0,0.679065,1.8933,0.952234,1.06574
34,1653.5,1,7.78736,12.7175,65.3965,238.343,1.28695,1.28695,0,0.661871,1.85454,0.928123,1.03875
35,1633.13,1,8.37804,14.8262,55.7472,249.231,1.25436,1.25436,0,0.645112,1.80758,0.904622,1.01245
