Cl_pop,1,-0.078587,0.07616,-0.12957,-0.015425,-0.042795,0.034884,0.071968,-0.14389,-0.011038,0.0085296
V1_pop,-0.078587,1,-0.36416,0.73052,-0.014189,0.14036,-0.043763,-0.35483,0.42733,-0.011565,0.04937
Q_pop,0.07616,-0.36416,1,-0.26634,0.012194,-0.042514,0.093894,0.36633,-0.24702,0.0065089,-0.064558
V2_pop,-0.12957,0.73052,-0.26634,1,-0.019932,0.21795,-0.11922,-0.28151,0.65592,0.014459,0.0063285
omega_Cl,-0.015425,-0.014189,0.012194,-0.019932,1,-0.036166,-0.054672,0.015211,-0.024992,0.02733,-0.056045
omega_V1,-0.042795,0.14036,-0.042514,0.21795,-0.036166,1,0.45581,-0.17637,0.43298,-0.014557,0.039378
corr_V2_V1,0.034884,-0.043763,0.093894,-0.11922,-0.054672,0.45581,1,0.068558,-0.19988,-0.10034,0.29455
omega_Q,0.071968,-0.35483,0.36633,-0.28151,0.015211,-0.17637,0.068558,1,-0.4052,-0.002424,-0.054395
omega_V2,-0.14389,0.42733,-0.24702,0.65592,-0.024992,0.43298,-0.19988,-0.4052,1,0.039876,-0.07092
a1,-0.011038,-0.011565,0.0065089,0.014459,0.02733,-0.014557,-0.10034,-0.002424,0.039876,1,-0.13335
a2,0.0085296,0.04937,-0.064558,0.0063285,-0.056045,0.039378,0.29455,-0.054395,-0.07092,-0.13335,1
