simulations,OFV
500,1272.92
1000,1271.48
1500,1271.23
2000,1269.9
2500,1269.9
3000,1270.33
3500,1270.36
4000,1270.35
4500,1270.78
5000,1270.88
5500,1270.82
6000,1271.05
6500,1270.69
7000,1270.44
7500,1270.38
8000,1270.56
8500,1270.75
9000,1270.5
9500,1270.15
10000,1269.78
10500,1269.13
11000,1269.18
11500,1269
12000,1268.76
12500,1268.93
13000,1268.69
13500,1268.63
14000,1268.5
14500,1268
15000,1268.14
15500,1268.01
16000,1268.09
16500,1268.11
17000,1268.17
17500,1268.17
18000,1267.83
18500,1268.03
19000,1267.98
19500,1267.93
20000,1267.74
20500,1267.8
21000,1267.48
21500,1267.55
22000,1267.66
22500,1267.57
23000,1267.41
23500,1267.39
24000,1267.28
24500,1267.19
25000,1267.25
25500,1267.29
26000,1267.28
26500,1267.18
27000,1267.14
27500,1267.18
28000,1267.3
28500,1267.34
29000,1267.44
29500,1267.5
30000,1267.59
