rep,id,eta_Cl,eta_V1,eta_Q,eta_V2
1,1,-1.09380702954914,-0.343631001885888,-0.462259624855117,-0.412099307560974
2,1,-1.11522219446996,-0.407375056842906,-0.874991791672645,-0.46569612950681
3,1,-1.0866707084493,-0.125626379685706,-0.925285760530752,-0.163190095720042
4,1,-1.09726939751663,-0.341477851948462,-0.963998300621668,-0.381854046554912
5,1,-1.06473199378668,-0.297304346043393,-0.940093301698809,-0.368437417218348
6,1,-1.1117728807564,-0.417798384860105,-0.971604689769503,-0.498348305131773
7,1,-1.14546463041177,-0.0625634787916704,-0.87522630733173,-0.0582544299362795
8,1,-1.16034811795947,-0.220627145541965,-0.792453177717807,-0.238990793628134
9,1,-1.10165406968174,-0.206467040419438,-1.26295591907409,-0.226328441575583
10,1,-1.08353020116317,-0.40345157001693,-0.941056340034236,-0.488394251751593
1,2,-0.224021826653674,0.115477272070999,-1.43857618429719,0.114495455937884
2,2,-0.185767215694567,0.00545138630177054,-0.54995122352952,0.00459931187520857
3,2,-0.202772722475549,-0.0507911403376093,-0.38439086799852,-0.0924534532407357
4,2,-0.164357264071828,-0.00694836711612565,-0.638491929432422,-0.00445141262186954
5,2,-0.231682842458873,-0.0302050080326656,-1.03077647056938,-0.0383945562624112
6,2,-0.212634367904851,-0.0552606511984724,-0.562546303026304,-0.0549926934476895
7,2,-0.206274814451287,-0.0553920616604851,-0.816000899999398,-0.0744777086763145
8,2,-0.177036334438917,-0.0369062245702015,-0.622104022500588,-0.0125450305858358
9,2,-0.188172199410257,-0.190690838449251,-0.511910277247099,-0.184464631559036
10,2,-0.247017624252642,-0.176221419727443,-0.990542696052913,-0.184104781036074
1,3,-0.251962093205183,0.00163738936892489,-0.814629769652217,-0.00461665450856712
2,3,-0.228706986059176,0.123692859927467,-0.844931320823551,0.171074329879032
3,3,-0.284304203211948,0.13345549625564,-1.24997175779531,0.154749806867943
4,3,-0.253109290044411,0.169334133108304,-1.14055874902071,0.188010177369406
5,3,-0.30909385177001,0.207553124222409,-1.6145271735577,0.239508196220898
6,3,-0.243883582002697,0.284164774014138,-1.4017293410527,0.365186974210502
7,3,-0.264333826736785,0.156572184738494,-1.32144743184058,0.161969904419167
8,3,-0.25567328730522,0.0965333279248473,-1.148116079395,0.123434612703184
9,3,-0.284495307773707,0.251828443283421,-1.552396862505,0.310306505922711
10,3,-0.262444168196984,0.300902150891016,-1.55322005429172,0.342509867661436
1,4,-0.429479777943013,-0.366397489677446,-0.545106387498163,-0.444864021601634
2,4,-0.446168395318871,-0.360220441457767,-0.472530688162221,-0.415556069993817
3,4,-0.484856920179282,-0.495578248458033,-0.388301275348172,-0.651026909146309
4,4,-0.453582345191358,-0.448966694101888,0.208107125289733,-0.524095951640709
5,4,-0.448264623533843,-0.39842947222806,-0.778414552139452,-0.498236977051571
6,4,-0.475813870436122,-0.429351476402939,-0.732821392241467,-0.523781680899071
7,4,-0.482714780445818,-0.452429805389534,-0.613618133104241,-0.51877481482812
