rep,id,eta_Cl,eta_V1,eta_Q,eta_V2
1,1,-0.861319354753283,-0.366760728134547,-0.798465177495077,-0.413466665008321
2,1,-0.880949448207937,-0.237787855575336,-0.88229610692759,-0.251701789132514
3,1,-0.926995983787483,-0.362854199321916,-0.733336631760704,-0.37359678918648
4,1,-0.850472411373656,-0.478315409852049,-1.26953822878175,-0.490949774975988
5,1,-0.920394601710459,-0.377185072418661,-0.998582291644645,-0.388870426537878
6,1,-0.888915686205279,-0.326797463960313,-1.11822671407703,-0.337885827672467
7,1,-0.866901444154702,-0.204114124741675,-1.15051958029329,-0.167973455934909
8,1,-0.868178521908038,-0.423392057199174,-1.06263249035264,-0.445403642462612
9,1,-0.8512409823657,-0.498597674175358,-0.495840429769132,-0.514676839820214
10,1,-0.891613862929853,-0.480697026022367,-0.787130367985444,-0.471834259560802
1,2,0.00119359887465404,-0.161457127538345,-0.179501900249597,-0.161438431163557
2,2,-0.00261233598990364,-0.17948617523208,0.0088838366736001,-0.187218151827325
3,2,0.0104051569632389,0.226435007792963,-1.64265247183717,0.241165070842614
4,2,0.0119434407025494,-0.203375615648876,-0.501588774792588,-0.217996428694505
5,2,-0.0038500782647203,-0.202706333062183,-0.535481652672634,-0.217277011476041
6,2,0.00917119862236672,-0.0428222119451681,-0.79837452782471,-0.0648782542569296
7,2,0.00425396088755378,0.151198124133119,-1.43892250231382,0.155249078331068
8,2,0.00716278188881209,-0.130359970977104,-0.80257549332048,-0.0984321993806202
9,2,0.0278669707934588,-0.0593893600211417,-0.756141143689227,-0.07733170733322
10,2,0.02988357561854,0.115748284288441,-1.06495998028019,0.107963235742277
1,3,-0.0848051253999052,0.118618858486018,-1.19914604668837,0.113096432804609
2,3,-0.0638110559157047,0.110417623229374,-1.33212480157196,0.126352118472486
3,3,-0.0651195565818049,0.137050978178009,-1.43602814901944,0.131861720589433
4,3,-0.0603798807154018,-0.0146409280267709,-0.94843268155584,-0.0181885615016417
5,3,-0.023776187973056,0.108564326397421,-1.33822663056263,0.127622324894773
6,3,-0.0460186300706904,0.210782658757369,-1.42446036879919,0.202826114674248
7,3,-0.025846705885257,-0.00250860962927947,-0.941320969892842,0.00430814256555664
8,3,-0.0539466912218468,-0.109107826687837,-0.578102197802683,-0.107712577031434
9,3,-0.00687189701905824,0.103766090646853,-0.940596953054565,0.0882839852494618
10,3,0.00112622392790633,0.319684303045615,-1.28454019040053,0.346782947622983
1,4,-0.24393296186302,-0.459495172827364,-0.66000225354552,-0.476697011219514
2,4,-0.266676599895685,-0.374174125088546,-1.07293577431986,-0.381872528468703
3,4,-0.217695587072557,-0.406335744492365,-0.536231971862563,-0.428223910700586
4,4,-0.246134750767185,-0.45399884294593,-0.636387237713712,-0.448250214802836
5,4,-0.220492737467544,-0.440436310084683,-0.195428780192346,-0.466368795594979
6,4,-0.194243114429768,-0.378075483350087,-0.687084646700309,-0.380995138067172
7,4,-0.265471512507111,-0.511994945529167,-0.723329288898124,-0.515140502887083
8,4,-0.22146850216399,-0.335996460541224,-0.152200522096665,-0.324059355431304
9,4,-0.233781206322202,-0.444214557654555,-0.31424958120579,-0.445660108925973
10,4,-0.22919300209555,-0.362822256369055,-0.543637841638483,-0.406953900913631
1,5,-0.382232248265246,-0.0245577161936997,-0.657940699154602,-0.0470963319696089
2,5,-0.386139243482849,-0.0239239644649887,-0.610057091183979,-0.0319179224908261
3,5,-0.314342856572514,0.217246820256747,-1.23780091330273,0.225885715894274
4,5,-0.304975904847072,0.228528623416032,-0.696239190947896,0.229282128141347
5,5,-0.359229296859357,-0.0831167022436816,-0.542656457487299,-0.0779317958733404
6,5,-0.34789528253505,-0.0305482588308011,-1.02189904944429,-0.0467436911371345
7,5,-0.33999520778575,0.171018940310956,-1.20189253227782,0.181296380949391
8,5,-0.356491504513718,0.203769508367483,-1.11150250953297,0.204887797028805
9,5,-0.341921799249706,-0.155871929329955,-0.278259680798386,-0.149743135687626
10,5,-0.377768472695446,0.101189076877495,-0.943935613549369,0.10407679573184
