rep,id,eta_Cl,eta_V1,eta_Q,eta_V2
1,1,-1.84493453011103,-0.565684382203255,-0.643497849316301,-0.676330867693173
2,1,-1.8583898972207,-0.928378078261197,-0.0403954326379219,-1.11197803889382
3,1,-1.89212633341823,-0.677176744871425,0.0125085024918861,-0.803924374260149
4,1,-1.91817728894012,-0.751583495265651,-0.0989477093475631,-0.940590531618336
5,1,-1.8699214941446,-0.657272456914443,-0.306468915226946,-0.76516920014075
6,1,-1.82767870830599,-0.89373973449964,0.125149752776643,-1.06483093908524
7,1,-1.85992561566104,-0.623432787872812,0.0930856928129396,-0.730471933954504
8,1,-1.88844797642647,-0.829393590757183,-0.172570688874953,-0.996338269037336
9,1,-1.90958989892619,-0.61921569025356,-0.382556360302751,-0.738665084901666
10,1,-1.86315031042208,-0.903170829239057,0.304283143287872,-1.06860977992089
1,2,-0.981176167762226,-0.361349186954054,-0.086370013965172,-0.434320113129251
2,2,-1.01027590180267,-0.51201896184174,-0.149215719280259,-0.614830568979393
3,2,-0.992081394478445,-0.307420367711319,-0.735682148374146,-0.345615307919325
4,2,-0.949660555137381,-0.434103044653553,0.0264702241986062,-0.545559165338272
5,2,-0.987226613222545,-0.363202406322977,-0.587847956386373,-0.416537757510866
6,2,-0.98641203072081,-0.442338966033276,-0.0986333507623486,-0.530172890286214
7,2,-1.0401911236406,-0.408633436589174,-0.5563918712113,-0.474905991768891
8,2,-1.01961931049016,-0.421950759847662,-0.243395907962034,-0.501800202192481
9,2,-0.987794590540903,-0.251307837462186,-0.528440823287549,-0.300938849580978
10,2,-0.989848683993375,-0.484649902378619,-0.142770074495501,-0.581669433184074
1,3,-1.02183268549979,-0.232929558870283,-0.461787089832095,-0.301251351695512
2,3,-1.03665601603586,-0.297155240703842,-0.0900238770492076,-0.377539213307155
3,3,-1.01660776390413,-0.215472405687717,-0.434659207091714,-0.272473834220618
4,3,-1.03936476648684,-0.405908546839422,-0.132566292672837,-0.479929882239031
5,3,-1.01134500326669,-0.230468615809125,0.0135193085524252,-0.281174145783595
6,3,-1.05816468690851,-0.398368461010458,-0.0631143695847771,-0.484926714815178
7,3,-1.07494190113253,-0.419335805832489,-0.219819827875714,-0.531483799199706
8,3,-1.04025732349784,-0.288992104528168,-0.117623101795119,-0.345075404401508
9,3,-1.05127786912882,-0.206738822978974,-0.137767938695412,-0.228771681282667
10,3,-1.01279967514721,-0.399904151482274,0.0286371592537727,-0.471077637666426
1,4,-1.27066633380823,-0.668191807542847,-0.754871498100364,-0.780132538551416
2,4,-1.2687045491234,-0.748551446978672,0.079081052850415,-0.869076166880487
3,4,-1.20477669853844,-0.622535667639353,-0.595522528706101,-0.746918274717197
4,4,-1.2505594829976,-0.731284550436437,-0.0125053471399774,-0.833791828318575
5,4,-1.19955693196051,-0.607357549402596,0.529867963163396,-0.724143214739886
6,4,-1.22419963665326,-0.677934216219625,-0.665001341342712,-0.819444384020866
7,4,-1.26389105975833,-0.728214401816999,-0.485075718073202,-0.848166578247583
8,4,-1.24771143409417,-0.805935073034899,0.188459120788499,-0.955240560728486
9,4,-1.25034167730749,-0.729527941162088,-0.393939025355235,-0.887899433561514
10,4,-1.22210499094931,-0.766930186248723,0.455417248460526,-0.91412141646882
1,5,-1.33523571073625,-0.404533319155619,0.468619474283894,-0.495823459834026
2,5,-1.35086020982038,-0.226360160837192,-0.016075388043958,-0.302258094062349
3,5,-1.36589821324743,-0.392258383984006,-0.32086288107286,-0.48237759176811
4,5,-1.30989324002575,-0.286495698394824,0.393185643314203,-0.331785408205817
5,5,-1.40498943953491,-0.381990590993558,-0.14387525884722,-0.456516925756874
6,5,-1.32328973898378,-0.241296990746262,0.0337907349789444,-0.303217211712935
7,5,-1.40486814939121,-0.315128767874636,-0.379412783619923,-0.415371770829409
8,5,-1.31694957534013,-0.352513100602977,0.330651861029412,-0.420744861543175
9,5,-1.38230143392514,-0.36915702465053,0.12414087784632,-0.444146395181169
10,5,-1.32390129405926,-0.355719670025059,-0.136981972002717,-0.428813887443499
1,6,-1.12060536872052,-0.135959242287048,0.805962532621175,-0.180801368790017
2,6,-1.06871570422585,0.0277494884310602,0.662009098451945,0.0265268817350433
