rep,id,eta_Cl,eta_V1,eta_Q,eta_V2
1,1,-1.28526560616068,-1.10303015859641,-0.510337673321647,-1.10965029695366
2,1,-1.28790616253361,-1.35048418833681,0.269111030792936,-1.37510190039565
3,1,-1.28545195244738,-0.909496003553744,0.229566561046366,-0.915790718995343
4,1,-1.30770094535667,-1.1464101600171,-0.437907888451573,-1.167298687584
5,1,-1.31037906730802,-1.06610695956201,-0.994961322667988,-1.08930248787627
6,1,-1.29750527842113,-1.32703691529972,-0.322715409501253,-1.36535724566387
7,1,-1.27079836137564,-1.03122209804638,-0.332038101273892,-1.02834576074306
8,1,-1.29529296137995,-1.15670652922052,-0.306753420346408,-1.17871799281523
9,1,-1.2856934529129,-1.15268171899009,-0.154521510068357,-1.16737071537138
10,1,-1.29708800110886,-1.31098675368227,-1.16566644061313,-1.33137128789944
1,2,-0.40933790486967,-0.866405526446189,-0.947945386250512,-0.865785826513627
2,2,-0.411532003506158,-0.875972924369333,-0.51414827927785,-0.877078645506517
3,2,-0.404906391746871,-0.881802663526308,-0.52206343938877,-0.882720968341596
4,2,-0.439854581351056,-0.850787912850264,-0.503080747131167,-0.86362253592997
5,2,-0.382149181143688,-0.832469272561195,-0.11701238063434,-0.870065606000732
6,2,-0.402619168445008,-0.88425109393903,-0.453346498824055,-0.902582807515056
7,2,-0.361381860729616,-0.723811972129052,-0.910846631217617,-0.744891581038107
8,2,-0.375339977867304,-0.880873849488119,-0.273025754695116,-0.878328232398227
9,2,-0.372701534354807,-0.809776366262035,-0.295928941418252,-0.830744972465344
10,2,-0.452375666958317,-0.99267433647844,-0.442481588703755,-1.02826497042544
1,3,-0.421734230270878,-0.776342844653769,-0.118662470486428,-0.791919955369194
2,3,-0.4437340392272,-0.827777249634866,-0.128328605368409,-0.841985290221046
3,3,-0.46619230804116,-0.817987836608862,-0.440010526944577,-0.865548884515803
4,3,-0.466333411713851,-0.786581400735358,-0.435125050601057,-0.788363883979703
5,3,-0.45711668849586,-0.72138716189954,-0.17282309947736,-0.729939843793618
6,3,-0.424502031069207,-0.851130350448987,-0.285161133582001,-0.877814744057664
7,3,-0.471454043128514,-0.904161937336002,-0.311303423662142,-0.921444409209412
8,3,-0.391516168191285,-0.702191712223473,-0.55733647785284,-0.728092760056884
9,3,-0.442090666801838,-0.81824420899706,-0.343753710246924,-0.828485064082423
10,3,-0.476462586686407,-0.891431790009897,-0.578469587666937,-0.920605536528927
1,4,-0.606297979069246,-1.10333749379274,-1.02186573457744,-1.13088204659066
2,4,-0.641721189177864,-1.11509989578184,-1.01228429778381,-1.14727583386147
3,4,-0.683699421744597,-1.19061355487044,-0.645774839176853,-1.20729536208781
4,4,-0.623939259764904,-1.20113300960326,-0.349260917308829,-1.21000481755028
5,4,-0.680484252269024,-1.28128298889034,-0.572402823741766,-1.32026122660677
6,4,-0.658906307818947,-1.23384480997229,0.140357313532493,-1.26315947243825
7,4,-0.703218084527211,-1.18956986679802,-1.24889041961737,-1.19546944697283
8,4,-0.672076905204273,-1.19884203379549,-1.02578959974181,-1.21960155282653
9,4,-0.638495177554765,-1.15098819296518,-0.750967551626869,-1.15869511408159
10,4,-0.644704558795888,-1.26175592381637,-0.366045926419956,-1.27545848042001
1,5,-0.811645810374672,-0.787971070411887,-0.400708299040732,-0.802011265722659
2,5,-0.737015173310745,-0.753333915434347,0.120510072985349,-0.772759434851619
3,5,-0.804611886162414,-0.872157423727298,-0.400046425611665,-0.865782989191584
4,5,-0.750356528010843,-0.858768966392092,-0.249575910494635,-0.87312398917283
5,5,-0.794963623679212,-0.821876969668784,-0.277548694919973,-0.841963083996593
6,5,-0.729664685298365,-0.86639526224036,-0.284272286894151,-0.88057234520857
7,5,-0.753022440946799,-0.701792988649074,-0.491825407028711,-0.686578153617619
8,5,-0.7646577651559,-0.893929672596025,0.0988223688936456,-0.90351486276078
9,5,-0.765674033688188,-0.896629456803997,-0.21631419508851,-0.919161514603033
10,5,-0.76736787816513,-0.934037818556063,-0.576779934205696,-0.945326599324493
1,6,-0.501929398082154,-0.44576664306549,0.0951971513398135,-0.454960493394427
2,6,-0.447241270359302,-0.425012526692158,0.331150928315286,-0.412005216424205
3,6,-0.485467473337394,-0.478874779112922,0.851050138059602,-0.503835109302187
4,6,-0.477611113160128,-0.338015761471012,0.0324225244701437,-0.346387037247655
5,6,-0.461742144940644,-0.479685930936865,-0.0392635935110954,-0.46315847660341
6,6,-0.497284772960231,-0.481721704062226,-0.0753133881221496,-0.487652879913634
7,6,-0.525265954160607,-0.479524802306386,-0.579148981706581,-0.47754974346033
8,6,-0.46864224102894,-0.428611215672509,1.04781367059833,-0.438897170463887
9,6,-0.474401005905808,-0.469885378012568,0.238467623802869,-0.486108674881713
10,6,-0.463550786729608,-0.300143623170845,0.185322586208579,-0.317499324275158
1,7,-0.514914126049782,-1.50178353931717,-1.23040375283197,-1.527866419009
2,7,-0.525362332137543,-1.45464225736536,-1.19641004893127,-1.49026915352724
3,7,-0.511568358391991,-1.37056844173336,-1.77274528887564,-1.41408679887461
4,7,-0.515023077035558,-1.45144560205301,-1.29737459102891,-1.48680382727574
5,7,-0.524319685234903,-1.53144210910372,-1.17115122124328,-1.53881937976958
6,7,-0.575870051049962,-1.5751375452694,-1.28828120682561,-1.59891497699857
7,7,-0.49226349820182,-1.45185760600038,-1.41090532123762,-1.45781904230132
8,7,-0.529600260165037,-1.50127526557382,-1.40124794404651,-1.52809205727517
9,7,-0.549159996472806,-1.57843168940622,-1.12776880797197,-1.59930409145191
10,7,-0.496650632073405,-1.46467202233125,-1.21621964766689,-1.46847835542936
1,8,-0.382913151355766,-0.949855824598911,-0.815214192694231,-0.972382284190015
2,8,-0.437478454938389,-1.02357394063309,-0.764870159538489,-1.03217688569319
3,8,-0.440524973255851,-1.04251539565685,-0.594427632121574,-1.06780033581624
4,8,-0.409098534197273,-0.899478000615279,-0.746660129809253,-0.903223208571521
5,8,-0.384493620009535,-0.992482454792894,-0.571010096086014,-1.02105937132787
6,8,-0.346251324900645,-0.891042497822594,-0.278093925249491,-0.894711883108493
7,8,-0.405508961054074,-1.05659582343384,-0.169889917333867,-1.06356639174528
8,8,-0.404847464885242,-1.00959464380681,-1.01507975500822,-1.00661222321851
9,8,-0.402740549318356,-0.94252286331034,-0.434531123831356,-0.953936622084691
10,8,-0.364427250394063,-0.986342149860121,-0.592470168445954,-1.01116560483229
1,9,-0.733210422436771,-0.904092726889107,-0.753524188414657,-0.909376714217848
2,9,-0.689866243999095,-0.920747008403988,-0.188242239738772,-0.936861007021026
3,9,-0.726791022842189,-0.877303698021306,-0.600613600944218,-0.933393773057258
4,9,-0.670233594099443,-0.907654150607352,0.388433382490844,-0.911812163711758
