simulations,OFV
500,941.379
1000,943.329
1500,943.137
2000,942.289
2500,943.079
3000,942.334
3500,942.306
4000,942.441
4500,942.763
5000,942.344
5500,942.005
6000,942.362
6500,942.134
7000,942.195
7500,942.447
8000,942.638
8500,942.812
9000,942.709
9500,942.692
10000,941.983
10500,941.892
11000,942.053
11500,941.956
12000,941.209
12500,940.889
13000,940.748
13500,940.754
14000,940.901
14500,940.764
15000,940.765
15500,940.852
16000,940.986
16500,940.948
17000,941.115
17500,940.983
18000,940.841
18500,940.98
19000,940.751
19500,940.575
20000,940.342
20500,940.142
21000,939.964
21500,940.009
22000,940.121
22500,940.159
23000,939.973
23500,939.927
24000,939.888
24500,939.885
25000,939.958
25500,939.911
26000,939.852
26500,939.899
27000,939.978
27500,940.001
28000,939.93
28500,939.93
29000,940.016
29500,940.104
30000,940.16
