rep,id,eta_Cl,eta_V1,eta_Q,eta_V2
1,1,-0.652263845486053,-0.348272313230008,-0.478666515727965,-0.360273982553191
2,1,-0.653181268902624,-0.640789274831793,-0.572284657475675,-0.640534908545292
3,1,-0.686968380341897,-0.247857942912231,-0.9502946484713,-0.232896595611761
4,1,-0.694657939176526,-0.262564975032268,-1.17113007583296,-0.246863739174286
5,1,-0.668945309654118,-0.319567228558249,-0.182461305156619,-0.345862216174968
6,1,-0.663050018446845,-0.707509858452555,-0.366392190577167,-0.720511494516596
7,1,-0.702905211254526,-0.294897352974753,-0.793503334858751,-0.294209421582125
8,1,-0.765042260639431,-0.0756616965824935,-1.03591067133073,-0.0756201854962155
9,1,-0.657796586876105,-0.331163254930454,-1.25248706579461,-0.314814259727593
10,1,-0.60945373609457,-0.658170723879509,-0.721448476103426,-0.674826363052066
1,2,0.27622074764618,-0.392933566015201,-0.163970351468071,-0.405601401816752
2,2,0.167319763089818,0.288547709327244,-2.07489834108452,0.283662271982109
3,2,0.214721684122525,0.245683831310661,-1.64445339674862,0.242791391828773
4,2,0.288987102115697,-0.392353075244928,-0.0793110722201973,-0.398150664911718
5,2,0.269653162384938,-0.519140177170842,-0.0581696310545258,-0.518731341357326
6,2,0.180259691095671,0.191347103660521,-1.92632049752591,0.210372906623015
7,2,0.204860495158549,0.177950183930328,-1.59014753607705,0.173800240687393
8,2,0.261595116004589,-0.430472157517537,-0.219226563663327,-0.42464467420523
9,2,0.278822944785327,-0.524217040389746,-0.232961081635268,-0.527249353996538
10,2,0.196246377762574,0.268297050939323,-1.97593225193332,0.299740792385268
1,3,0.201791047429429,-0.0468866100741366,-1.17429073022856,-0.0676909671478226
2,3,0.240457244129092,-0.310335004740898,-0.225928963256342,-0.297617742405742
3,3,0.180827331441831,0.242931984239052,-1.37860892479495,0.242781508005342
4,3,0.171132802495471,0.275755209695372,-1.53573833521918,0.292045224809649
5,3,0.136601979390589,0.206105000842387,-1.69593335097307,0.232102121538313
6,3,0.189792657780223,-0.0518609354963123,-0.974291967513564,-0.0376720235964905
7,3,0.1740112189238,0.158859963501424,-1.40258858526476,0.163350704094638
8,3,0.163661544281073,0.147445743560485,-1.62222036549001,0.153045811419414
9,3,0.157855320874512,0.234338350027834,-1.61115003583601,0.249307526206002
10,3,0.155946932415611,0.11798337668429,-1.54290604126768,0.10289370905827
1,4,0.0341569147207746,-0.772322479448997,-0.0311679840766455,-0.792658998711421
2,4,0.0100815722149573,-0.749436658844118,-0.0198353045238197,-0.750997988099067
3,4,-0.0296128683016419,-0.137137220141469,-1.84559281173723,-0.195321760395858
4,4,-0.0123744728315006,-0.814004816459212,0.407783498730635,-0.844608895463911
5,4,0.0147599288451796,-0.734895431016289,-0.491167495064322,-0.761892142114773
6,4,-0.0131692674597923,-0.895750144716286,-0.220147613199532,-0.911511429732683
7,4,-0.0109187837269718,-0.720549087249044,-0.436881315814589,-0.725360754052077
8,4,0.0197900067299507,-0.758871987185668,-0.250506139857326,-0.755384440399175
9,4,0.0169535129747987,-0.832570938536177,0.0444621186989443,-0.852248237031764
10,4,-0.01025016571524,-0.781066743187987,-0.196107692007474,-0.800511331260134
1,5,-0.0818230982685261,-0.303516138717454,-0.0797061648879062,-0.304830925542541
2,5,-0.125403633009262,-0.252953940833452,-0.158686782352433,-0.241600611498047
3,5,-0.0720973886996202,-0.426036194337697,0.250995646819065,-0.415110198336445
4,5,-0.132399451538212,-0.369504026039301,-0.209503597365451,-0.380209787251207
5,5,-0.113489060941346,-0.325666284618673,-0.357082434487369,-0.315462344426255
6,5,-0.0919046252671703,-0.108576373637668,-0.441016747640718,-0.112135776064041
7,5,-0.107909392887427,-0.349471156740895,0.279301183700266,-0.383849378785043
8,5,-0.110986421179774,-0.335093013611859,-0.293680001823524,-0.324925498600722
9,5,-0.147928487260841,-0.628344525863515,0.0107510809385853,-0.640491381618281
10,5,-0.102075716350974,-0.349552415777106,-0.306353548293412,-0.358521991256869
1,6,0.131417575875019,-0.093352835017919,0.112591976510653,-0.119069763065675
2,6,0.128310715765684,0.49582723808883,-0.53509822624774,0.51457859653764
3,6,0.201580095440936,0.126043148113903,0.141650152742521,0.152361743089804
4,6,0.190877850884383,0.0806685528999501,0.342431812071453,0.0542223740897568
5,6,0.109934477703253,0.510701674738575,-0.476971496400788,0.525043492660659
6,6,0.19056492861108,-0.062814883166294,-0.0432567839027417,-0.0835176243744882
7,6,0.167408626531951,0.0137806226239656,0.285468433311317,-0.00902323551444464
8,6,0.111272653060027,-0.0717560916416386,0.141572476137042,-0.0839194928462531
9,6,0.164694344957863,-0.0746605407631363,0.174026574736012,-0.0427020728470771
10,6,0.1513122235489,0.112046556236612,0.194420354857109,0.104719046806112
1,7,0.11197809606992,-0.45856974846947,-2.34939581001111,-0.480525421285401
2,7,0.121040745430192,-0.54722095002448,-2.23764702489397,-0.537051941737136
3,7,0.0688710076064766,-0.465373412058159,-2.52886564421614,-0.460343359876745
4,7,0.101211491101436,-0.534945041625301,-2.3634332553366,-0.547258156097287
5,7,0.128421233561225,-0.434657480754582,-2.37589285406276,-0.443170417294156
6,7,0.127190555074754,-0.562248133468371,-2.34615684339386,-0.58532624592329
7,7,0.13829579984055,-0.507056694242788,-2.23489956967247,-0.514060289127432
8,7,0.125098696880567,-0.618344559164212,-2.24775062457747,-0.610417490849888
9,7,0.144111151478012,-0.502608056207291,-2.42601858345897,-0.535992975793673
