simulations,OFV
500,995.352
1000,995.664
1500,995.565
2000,995.274
2500,995.516
3000,995.311
3500,995.16
4000,994.986
4500,995.249
5000,995.269
5500,995.252
6000,995.275
6500,995.328
7000,995.554
7500,995.656
8000,995.739
8500,995.824
9000,995.642
9500,995.6
10000,995.548
10500,995.425
11000,995.509
11500,995.433
12000,995.422
12500,995.37
13000,995.354
13500,995.374
14000,995.373
14500,995.344
15000,995.39
15500,995.442
16000,995.497
16500,995.471
17000,995.4
17500,995.435
18000,995.362
18500,995.422
19000,995.39
19500,995.352
20000,995.3
20500,995.276
21000,995.133
21500,995.102
22000,995.125
22500,995.106
23000,995.066
23500,995.054
24000,995.029
24500,995.044
25000,995.059
25500,995.089
26000,995.086
26500,995.096
27000,995.067
27500,995.053
28000,995.09
28500,995.102
29000,995.131
29500,995.16
30000,995.144
