rep,id,eta_Cl,eta_V1,eta_Q,eta_V2
1,1,-0.679837979947822,-1.15086080986549,-0.724156530379036,-1.17284957233472
2,1,-0.639516540567715,-1.35965865666773,-0.371566800398414,-1.37145588635355
3,1,-0.640835043993926,-0.98892138038075,-0.316884617734718,-0.982860047947874
4,1,-0.668011265829844,-1.08689332075876,-0.367180361840745,-1.10434330026093
5,1,-0.625400067935654,-1.23294839233439,-0.435374455990006,-1.2596764559193
6,1,-0.647939862109361,-1.3076687532128,-1.42845781264623,-1.31832484459279
7,1,-0.673175293271725,-1.11332590434462,-0.949516844274734,-1.1377038931207
8,1,-0.678694457552297,-1.04514793284135,-0.394979969639434,-1.05611527659306
9,1,-0.662752509354771,-1.1724567037158,-0.132391238613758,-1.17297221224882
10,1,-0.620723338724497,-1.2881541390285,-0.871544913038913,-1.29736660606999
1,2,0.27548301975231,-0.811694192219485,-0.689683756802322,-0.834786344642014
2,2,0.236082076072931,-0.888850999847151,-0.771845757417753,-0.903734202695336
3,2,0.259647279518475,-0.804004959619053,-1.12612382104444,-0.821400271543392
4,2,0.255123382933563,-0.897041032039797,-0.590245713717422,-0.882510948797043
5,2,0.245184039548652,-0.857438845233001,-0.545533712175135,-0.879922322291135
6,2,0.191371386484242,-1.03268898047277,-0.354285855523569,-1.04832493286891
7,2,0.300888617098165,-0.753365876511251,-0.117286047086202,-0.779963868501354
8,2,0.183374011261243,-0.925521952093643,-1.02359899425229,-0.942916560935533
9,2,0.218035060678308,-0.932640580953157,-0.937140714595883,-0.950589420611677
10,2,0.204302320379419,-0.951511018391507,-1.02930788158263,-0.955117213238168
1,3,0.205929591839153,-0.762662115947532,-0.47044954067245,-0.763894787724104
2,3,0.169376974580225,-0.970272674045653,-0.622321561119285,-0.996648171110249
3,3,0.157447246465918,-0.9300253187623,-0.259098749378431,-0.947029216605007
4,3,0.238919337662695,-0.751651680266219,-0.997421129819713,-0.781644920321202
5,3,0.182830312295886,-0.864834790213339,-0.901462469512006,-0.885558295993463
6,3,0.130941521343666,-0.928558778646402,-0.447339885622468,-0.958193705257644
7,3,0.174728303779143,-0.808182657966159,-1.09081311676306,-0.831705006867751
8,3,0.20702474346431,-0.729314276913687,-1.00319649175475,-0.761034218937022
9,3,0.123627843323346,-0.960028893936146,-0.932041203647198,-0.984821614474925
10,3,0.160533282600936,-0.957230843982294,-0.452627382842337,-0.947666926106872
1,4,-0.0480227952256577,-1.33043142199268,-1.20136620029598,-1.36302595887307
2,4,-0.0199651342907966,-1.27061336025481,0.00468664062631813,-1.29121166418465
3,4,-0.0125811824706527,-1.22518507689363,-0.863029639807201,-1.20483344770622
4,4,-0.0367459788439234,-1.23081421944789,-1.39101065398902,-1.2689318713828
5,4,0.0105617716939616,-1.12754997549614,-1.11050526053121,-1.13323720157893
6,4,-0.0517491012444465,-1.29766278251344,-0.373653615880693,-1.3149792369248
7,4,-0.0457914020538629,-1.26248013116916,-0.930450746071166,-1.26976417104886
8,4,-0.0225340334916277,-1.27542847236626,-0.566668709856724,-1.30880169220871
9,4,0.0225067272415528,-1.08139614464365,-1.53791589767284,-1.10256514719123
10,4,-0.0865449833956952,-1.30646823305716,-0.2587333350595,-1.33580588965366
1,5,-0.139749379725915,-0.834919019602961,-0.874129456741727,-0.865681487933163
2,5,-0.114650632255612,-0.832742841872505,-0.228187716351958,-0.844293185730028
3,5,-0.108730152032076,-0.700105752549904,-1.01564547558754,-0.689964407488604
4,5,-0.125735379970332,-0.925139053359425,-0.276041537460589,-0.957637056189132
5,5,-0.131270569510582,-0.890412444219416,-0.784777974611315,-0.909109444235778
6,5,-0.134971940530446,-0.956301241274993,-0.783017117624055,-0.988219371465119
7,5,-0.110771796457481,-0.824425325625452,-0.44025563280985,-0.854142672038394
8,5,-0.119601118550205,-0.971103263800598,-0.520037399694927,-0.986368324570226
9,5,-0.185184237455507,-0.858738021389353,-1.55193711080372,-0.864522080154781
10,5,-0.14721875622722,-0.900783830935926,-0.048350935678531,-0.907765977738168
1,6,0.160781900040549,-0.556408476936875,-0.230766761931537,-0.558096797361065
2,6,0.130249395819797,-0.465365246841701,0.345278700355192,-0.476418065186885
3,6,0.138618801367004,-0.46094680165031,-1.10123495730409,-0.462367023936931
4,6,0.153951215899452,-0.541198790734594,1.12978889777529,-0.554368095831105
5,6,0.120907798293769,-0.578009694684623,0.44151340022467,-0.60513738884299
6,6,0.139884614674186,-0.51996265432359,-0.202983043072785,-0.531635966077438
7,6,0.10279465895713,-0.541162483153838,-0.718155786153717,-0.552820281130806
8,6,0.120247061613863,-0.578503664427902,-0.490543195452393,-0.60884694656272
9,6,0.148375325001781,-0.640270171362264,0.172957600519151,-0.655256946342349
10,6,0.111993309483243,-0.567965040299506,-0.886660896410061,-0.573719287897957
1,7,0.118318126095861,-1.45909343936633,-1.62943315619179,-1.45310284505261
