simulations,OFV
500,1104.78
1000,1105.61
1500,1104.51
2000,1103.49
2500,1104.08
3000,1104.39
3500,1103.9
4000,1103.92
4500,1104.01
5000,1103.92
5500,1103.78
6000,1103.93
6500,1103.73
7000,1103.88
7500,1103.75
8000,1103.87
8500,1104.05
9000,1103.79
9500,1103.6
10000,1103.56
10500,1103.4
11000,1103.48
11500,1103.51
12000,1103.38
12500,1103.46
13000,1103.38
13500,1103.18
14000,1103.11
14500,1103.11
15000,1103.15
15500,1103.05
16000,1103.16
16500,1102.97
17000,1103.02
17500,1103.17
18000,1103.05
18500,1103.14
19000,1103.05
19500,1102.99
20000,1102.9
20500,1102.79
21000,1102.74
21500,1102.79
22000,1102.89
22500,1102.91
23000,1102.76
23500,1102.74
24000,1102.75
24500,1102.77
25000,1102.79
25500,1102.75
26000,1102.73
26500,1102.74
27000,1102.66
27500,1102.69
28000,1102.78
28500,1102.74
29000,1102.84
29500,1102.87
30000,1102.91
