rep,id,eta_Cl,eta_V1,eta_Q,eta_V2
1,1,-0.635085112505907,-0.417367284413317,0.638009096979751,-0.26495620423142
2,1,-0.633549276657447,-0.240139230410294,0.517532421653135,-0.160165971066921
3,1,-0.642237071357608,-0.515261090989914,0.34440613005086,-0.447857998098191
4,1,-0.678403426904379,-0.564366514061498,0.43664063106121,-0.330149454128668
5,1,-0.681326752088016,-0.169875972986571,-0.0722998004852872,-0.0844684216578385
6,1,-0.637396776833092,-0.424891402683073,0.129226920085134,-0.265999502653247
7,1,-0.643437848330781,-0.182420538202093,-0.149373017955096,-0.0543606136733732
8,1,-0.622417114814354,-0.430969184783525,0.248952554137466,-0.322983259571756
9,1,-0.618125086637254,-0.485759858030717,0.965461647487304,-0.339849253923795
10,1,-0.649657358898707,-0.419537290313184,0.1710270209051,-0.269952350190958
1,2,0.230676794957205,0.184203461374492,-0.309412197577925,0.129314688718533
2,2,0.260489675156033,-0.0399789054996401,0.910429856717772,-0.0411716601400207
3,2,0.225460169779713,0.218031127600985,-0.472560782195524,0.168934404824147
4,2,0.289755284709732,0.182112004620132,-0.0863667258197664,0.0325759756186984
5,2,0.227162072655096,-0.0211988066126546,0.131539364162518,-0.0980951417736148
6,2,0.244582132888778,-0.0936667365476564,0.712624115712822,-0.195985124730492
7,2,0.225500518900469,0.138817945217856,-0.311519120184795,0.108257521749611
8,2,0.232551447937167,-0.154550387549576,0.24981766382071,-0.0495136912741261
9,2,0.219789356029797,-0.101320830463841,0.330162383316488,-0.0854223648509746
10,2,0.274177436676296,0.0445363514255438,0.474124321294331,0.0464058356694874
1,3,0.166726345258016,0.239597806288915,0.0701129245492187,0.14336655131308
2,3,0.18780763333647,0.353099596144797,-0.0334790997704855,0.315881791094587
3,3,0.188429485806276,0.293613487859763,-0.405182162492272,0.185226081730603
4,3,0.193615167827062,0.0816396487150608,0.136799095290205,0.0628433874221746
5,3,0.170219404807906,0.19495310920552,-0.269243359624292,0.167675484665891
6,3,0.175883338505176,0.11078818156634,-0.149706133946922,0.0232381611772027
7,3,0.192863784699682,0.272324530385222,-0.26353333975492,0.226980388053122
8,3,0.181268277680674,0.142848695415705,0.0339009041324924,0.112057293002946
9,3,0.18285557729249,0.233509982825139,-0.241871887325682,0.227729342108343
10,3,0.230813733060399,0.315679248476194,-0.00876100390986905,0.282902605754477
1,4,-0.00788806872596995,-0.70355236586717,0.958251951322948,-0.407909225391492
2,4,-0.0369981102300959,-0.515242299181968,0.592322700107645,-0.390969716505284
3,4,-0.00656574900623556,-0.591994353253986,0.767438682075246,-0.404542748710592
4,4,0.0125639919363654,-0.632818065386873,1.00457624054501,-0.374292334536939
5,4,0.0235832573502766,-0.479513153191134,1.06227021172574,-0.414171639911587
6,4,0.0215169688627469,-0.481549317266019,0.780134267159151,-0.34303554307411
7,4,-0.0312163054762173,-0.645457725567878,0.712831901522446,-0.491682812282655
8,4,-0.0303563835694522,-0.639293080916144,0.80393159917318,-0.390303211118595
9,4,0.00133258463215669,-0.650358309241226,1.11613036256318,-0.44776729610613
10,4,-0.0240409869757289,-0.475968183396588,0.86280419786275,-0.437395290559534
1,5,-0.141442000490267,0.319711458216378,-0.225237631417956,0.201122835653773
2,5,-0.143787006790223,0.15211676554881,0.252655626986001,0.0658540181467048
3,5,-0.105158464415913,0.251315237089475,-0.0759433112851368,0.190952059892401
4,5,-0.107868851716909,0.0453527663723894,0.744716289333848,0.00090903722461888
5,5,-0.120555829883478,0.226241994090708,0.136400846687821,0.228777656922701
6,5,-0.0817465272527347,0.0686581295962704,0.270206103422828,0.0438279781088832
7,5,-0.0932094175973277,0.227656656119186,0.0686533194662088,0.137025559328997
8,5,-0.117871125185252,-0.334899492190614,1.08118883906886,-0.107938479139805
9,5,-0.107647555118815,0.0412869883410771,0.341000636434088,0.0393690215099275
10,5,-0.140576424890993,0.197593546047409,0.438629328567759,0.157348900001024
1,6,0.125954525532818,0.697182100193891,0.196174260750819,0.442961334492579
2,6,0.162435702757177,0.528997965518703,0.762722987425967,0.354887244387826
3,6,0.124600087865089,0.758001072995871,0.0925014780209527,0.596549111028078
4,6,0.123111407218022,0.765782335574889,-0.0223971217326392,0.497601655528068
5,6,0.136604294251944,0.688818922550669,0.14250878496903,0.458472845222051
6,6,0.112430472236072,0.64171367696541,0.13312909437844,0.403291347079241
7,6,0.113483843626852,0.552726943663642,0.427096676280408,0.390036543874577
8,6,0.153959832531629,0.680075330608382,1.24289704631074,0.479136140088257
9,6,0.137212661557188,0.499210419404373,0.604263470340877,0.240281531930727
10,6,0.164376833277555,0.637288778406109,0.547562407166757,0.460396458398424
1,7,0.0889376149660493,-0.684470501277433,-0.791942703586079,-0.470343210012612
2,7,0.111584894417188,-0.520726644056807,-0.931888225129158,-0.350101231040173
3,7,0.0963647769263837,-0.472260428061786,-1.18245909816802,-0.39280099809128
4,7,0.170646476691363,-0.573124778999508,-0.569432594125252,-0.402497393738141
5,7,0.112378678735823,-0.488832697513868,-0.942831723360107,-0.339900960265502
6,7,0.0965892097981725,-0.812709183810431,-0.430319638337993,-0.545979865271855
7,7,0.0624196531349138,-0.568068831320857,-1.09836141322966,-0.364171523544966
8,7,0.143854510344619,-0.93914907549385,0.022093544921056,-0.608511616436084
9,7,0.12726803791074,-0.432992401057051,-1.01199728681013,-0.305061682241032
10,7,0.13605050794921,-0.871176417840985,0.0805751697650219,-0.59626233676455
1,8,0.278012856724196,-0.0924989012150687,0.256287578005692,-0.156106689490171
2,8,0.251464519487593,0.0956572304344648,-0.240255643153549,0.078584740555277
3,8,0.290937907021017,0.128616391894471,-0.246088335294544,0.0377297691539555
4,8,0.274938324679376,0.0111015120979907,0.103592728309642,0.0262252058357513
5,8,0.250890703163142,-0.241089846637201,0.53332539420036,-0.166711922440177
6,8,0.216540420348326,0.0568336029797149,-0.473322599233243,0.00313654519410754
7,8,0.221485010921955,0.0504047779728777,-0.36631710706776,0.0713460333885521
8,8,0.226000241334365,0.068657380552104,-0.395591918588715,0.0635157987572139
9,8,0.259839301632748,-0.0209610820924658,0.0513803759676146,-0.0452317294635457
10,8,0.219338746102362,0.214067850309495,-0.777388456228203,0.151585938733955
1,9,-0.063641202506902,-0.183913910342462,0.511665213789383,-0.155833839212968
2,9,-0.10491255434353,-0.351840139703062,0.729454136810391,-0.23677270583401
3,9,-0.0491944989041157,-0.182852691886073,0.809879839925599,-0.137087771528166
4,9,-0.0499238630434515,0.045571219569439,0.455447906018699,0.0677424602707975
5,9,-0.0878029532681893,-0.17935563766187,0.415764823747986,-0.0570295239624462
6,9,-0.0685502736081903,-0.0508981144213394,0.372709904546464,0.00622154389255686
7,9,-0.031974975355836,0.076389647228094,0.655327866736373,0.0879314452481799
8,9,-0.0651278695777158,-0.000366239539949017,0.130657685034963,0.0627578593501852
9,9,-0.0510405802348375,-0.0546596994964282,0.354065625156247,0.00711554451980979
10,9,-0.052539674141413,-0.201952297456336,0.477339161867553,-0.0946201470408502
1,10,-0.415140340840766,-0.129418246360961,-0.978040737334154,-0.0990137845966409
2,10,-0.383962435725444,-0.601856929068434,1.00019202751281,-0.48275812904601
3,10,-0.42348709420671,-0.171287982626795,-0.840290428359541,-0.191689133799584
4,10,-0.40027247858534,-0.229360649318627,-0.573054381842947,-0.141984518707618
5,10,-0.386899771827774,-0.106071682773667,-0.572717887987706,-0.0780866384661618
6,10,-0.402260672238381,-0.760212028212054,0.687302162555899,-0.568888984908772
7,10,-0.465942743638664,-0.0996079339778635,-0.856520346689025,-0.0693257189837643
8,10,-0.460993696462713,-0.0954611719308008,-1.03779037023532,-0.0351887182170076
9,10,-0.423599452669563,-0.146175626398393,-0.580253013895649,-0.0856187865803363
10,10,-0.390590262344473,-0.623767352830111,0.816495936470797,-0.478051620291506
1,11,0.206048217678384,0.274759683623994,-0.287747112204481,0.157744960003355
2,11,0.216713810256748,0.10872468613733,0.327211954708368,0.0767968329908173
3,11,0.235691432616907,0.284182032215375,-0.435052015327542,0.234666753444843
4,11,0.247018520506196,0.331090373382366,-0.345632511588194,0.200682113927197
5,11,0.216328650292424,0.183718261385669,-0.109101080640969,0.230049837001178
6,11,0.197315062463264,0.154652232307406,-0.196755912222286,0.0661276155251094
7,11,0.229861660320603,0.0261649383562721,0.580516690901078,-0.0601793879605655
8,11,0.286382771962497,0.407891095610804,-0.112478515330861,0.322744170632659
9,11,0.213443828566605,0.185060960499464,-0.0946284844073217,0.0390275208702046
10,11,0.226643598446188,0.239146283138891,-0.0249586738106045,0.153848335726476
1,12,-0.0572090797184012,-0.0471475579692391,0.539831834815814,-0.0178026097334081
2,12,-0.054338578141318,0.216840531730178,0.593420667147143,0.182143376543973
3,12,-0.0462990016677568,0.187218295774389,0.0639941143524898,0.115075299529027
4,12,-0.0124742261189391,0.212821440356336,0.784413805340844,0.174830756058029
5,12,-0.0871684474591252,0.224537237770595,0.174347027263771,0.133328299775143
6,12,-0.0598601231965045,0.00229744806393423,0.718276146478931,0.0232803382849872
7,12,-0.0467967474210249,0.0860792908730882,0.517678093486524,0.0531604804288172
8,12,-0.0791991701690676,0.115924038253112,0.137750813217061,0.0669734823351659
9,12,-0.0577385788500489,0.285645124212848,0.117913815131481,0.222466662337811
10,12,-0.0630977902999615,0.297754627582044,0.133275869103003,0.162247670643814
1,13,0.0266015018535326,-0.0315303789181634,0.510294225382869,-0.067882607732682
2,13,0.0254471749066357,0.0575088477253718,0.297651890177216,0.00553718425024919
3,13,0.0192844463931075,0.175464025923358,0.141016108393282,0.135613657317705
4,13,-0.00612721775372408,0.274611160836502,-0.654905899830839,0.27290673828641
5,13,0.0216600926620109,-0.131371741404905,0.795321267995023,-0.122675651499104
6,13,0.0418832920454027,-0.192067559261383,1.14308039394442,-0.104223943834569
7,13,0.0490123321919375,0.163068910198269,0.17429064750092,0.113753056418037
8,13,0.0297569065105709,-0.108340876174995,0.438875724297102,-0.0951747953802339
9,13,0.00572313507013447,-0.154300007302573,0.288906840201438,-0.158671985091248
10,13,0.0316816154877476,-0.100577353625306,0.575177779558238,-0.116919798330463
1,14,0.134908439882275,0.165835756593087,-1.43973775726671,0.134635612152754
2,14,0.181482583880321,-0.407221677546832,1.37397621971004,-0.311057951850747
3,14,0.187637690210306,0.248643741348389,-1.1789582457214,0.12405770122339
4,14,0.192651381838872,0.156289499974101,-1.04122518715201,0.166321776390831
5,14,0.166385232779945,0.17120611370729,-1.29614577424892,0.037197483193623
6,14,0.200444721696551,-0.436026468171644,1.49095185036283,-0.341658105200906
7,14,0.172186232395113,0.203390345774026,-1.34265885972784,0.12019472791774
8,14,0.158879818316987,0.202054041039813,-1.26963651519064,0.222946254571347
9,14,0.172912772873749,0.098293821629306,-0.712466801139597,0.108372729322655
10,14,0.185251884312968,-0.563900872771378,2.47785221952386,-0.380205039073603
