rep,id,eta_Cl,eta_V1,eta_Q,eta_V2
1,1,-0.692734683286005,-0.0711235293091715,-0.373330679291011,-0.14953754167219
2,1,-0.661693090336739,-0.227388207361257,-0.137745871125938,-0.36511751170955
3,1,-0.636373262017223,-0.301910828477784,0.321632924365323,-0.510123084700683
4,1,-0.659761413520548,-0.468448697057544,0.13883226113027,-0.750364730180561
5,1,-0.660199164034381,-0.13835863824348,0.0172190205141352,-0.185645512359854
6,1,-0.644541377802271,-0.25419267528928,-0.377405846487339,-0.370395758050367
7,1,-0.632435634758497,-0.339319467456166,0.182644138721785,-0.540060934731302
8,1,-0.673698290455471,-0.242327279697241,0.0196590396874512,-0.384809729589408
9,1,-0.671098788069985,-0.393196713290431,0.203339545697823,-0.618764269620418
10,1,-0.678026272482692,-0.208020331829293,0.0460693391398422,-0.350430041939409
1,2,0.193987135804398,-0.0927724415798655,0.141626264424112,-0.145060455861051
2,2,0.24316244503845,-0.0702677823759344,0.579866184822964,-0.103957494722496
3,2,0.232303172268635,0.0178840975394548,0.258608165968443,0.0135478680367285
4,2,0.227942958542213,0.16596372585838,-0.0337460425902258,0.24528545938992
5,2,0.248621870197441,0.0337111920637192,0.304409446443649,0.0370322760418359
6,2,0.269944762021883,-0.0254930418439883,0.614026610722173,-0.0443922634854954
7,2,0.235735631866916,-0.0626658500376572,0.583266929013296,-0.136240988284139
8,2,0.246557351810832,0.231466254230987,-0.422507355548008,0.347816617678473
9,2,0.235693168479237,-0.0377141872695587,0.283160695724799,-0.0852830208125601
10,2,0.250813153527688,0.0539829979337017,-0.140826781632579,0.0741286609527171
1,3,0.190297236354331,0.140405579419451,0.101249801579157,0.211246580073192
2,3,0.147722421984953,0.173583434095305,0.134730567625809,0.327880544640735
3,3,0.204938626772483,0.243374366705493,0.206072533387901,0.401538453767363
4,3,0.0995447729847975,0.104367421177768,-0.548347304921749,0.14763489188011
5,3,0.154950919700822,0.104530148899729,-0.0189677210865719,0.165508452360966
6,3,0.174921689020788,0.0279649798253412,0.0932879186198091,0.0381449489825274
7,3,0.191011772442122,0.20622831286796,-0.00517354369503921,0.321483032422401
8,3,0.204663165885413,0.196127511388065,0.156086288491845,0.314042691797737
9,3,0.18093260869356,0.014500623831232,0.316404034315595,0.0218365704937665
10,3,0.200572231358374,0.0826425612567298,0.43833869514487,0.12250971818378
1,4,-0.0059970117647722,-0.265726793696143,0.278199637829903,-0.455690710116582
2,4,-0.0237145236882395,-0.0748154724765413,-0.669390881618789,-0.107298927117029
3,4,-0.0394090255405541,-0.00101333821530329,-0.563833860453671,0.0160653936783104
4,4,-0.0360171152524752,-0.417653912196209,0.47789066772351,-0.660479787703236
5,4,-0.00906378183695173,-0.272165061003986,0.0349159671855333,-0.403588795390121
6,4,-0.0266851894053724,-0.0141604763520877,-0.403746103244466,-0.00129937677177967
7,4,0.0366169542842392,-0.297019851801228,0.674719676564075,-0.44940814965006
8,4,-0.0314485671162008,-0.425016169967301,0.534066103543158,-0.662672112978354
9,4,-0.00795673455065888,-0.128939135828663,-0.316083609780421,-0.219075551984749
10,4,-0.0345694224706226,-0.40147314449296,0.426203713027941,-0.64931105622187
1,5,-0.120493449891399,0.046103267647119,0.345305264618254,0.0810568659859106
2,5,-0.145742097113139,-0.142233726503519,0.366153139806261,-0.205704447328287
3,5,-0.128372400158115,0.0333863395945208,0.288606433848861,0.0281331543981026
4,5,-0.132539664560676,0.176064245023674,0.355760863283335,0.294927528825909
5,5,-0.119921834019406,0.012821304825402,0.721370262046973,0.0443338665454059
6,5,-0.0663196463394101,0.309807181994999,0.291927876251394,0.505210051404483
7,5,-0.107896574272439,0.224980053967976,0.342305225225989,0.350400078788205
8,5,-0.0927933536411052,0.140421218513861,0.499930744205316,0.230447388036316
9,5,-0.128261084908935,0.0930887248925348,0.0104460555953459,0.132337718514777
10,5,-0.161499170083768,-0.109886689450424,0.626556554032546,-0.155840895951366
1,6,0.147845892596238,0.397352878839299,0.937698645397688,0.610136088521545
2,6,0.154741787368076,0.240630651782414,1.15830957776843,0.419160226087225
3,6,0.135401375088611,0.137563425313923,1.50973440765188,0.251144629105092
4,6,0.133701990513586,0.357520392987093,0.746810840486583,0.561618534836654
5,6,0.160058598873271,0.485719379951892,1.04492796560255,0.750672763691458
6,6,0.15212798278551,0.339983123199477,1.23199493790162,0.496638429110833
7,6,0.136240483571174,0.633075862127317,0.530132449737695,0.986109054692166
8,6,0.110106837601125,0.196133810369815,1.68110999948814,0.299350872457269
9,6,0.131021827136569,0.53014990758521,0.792225109671603,0.847005851246171
10,6,0.132728774812191,0.278948311625607,1.36028846146009,0.467779364666686
1,7,0.123435936418187,-0.565865146752663,-0.366313823049465,-0.92856981273381
2,7,0.132207714685931,-0.448929708891805,-0.728335017592895,-0.677080483925188
3,7,0.110913091852969,-0.589835002251562,-0.528645207737099,-0.919416842357428
4,7,0.141163312319347,-0.429717159032876,-0.903374436111461,-0.654955002401384
5,7,0.123564766853409,-0.522407024874795,-0.688786025710226,-0.792317699660143
6,7,0.0450326307911773,-0.592011010247868,-0.961155446957891,-0.932870542785973
7,7,0.142935666247678,-0.53931929527552,-0.395789661980939,-0.822954627523107
8,7,0.124698248582941,-0.518010959167756,-0.682906612737842,-0.808873566637914
9,7,0.0961255597316484,-0.573531894073617,-0.777040770848541,-0.884699126030415
10,7,0.0682949290313365,-0.563917431586474,-0.949884792916982,-0.913922995891849
1,8,0.263419639506215,0.0127853735737819,0.0142890404023964,0.0485057522142398
2,8,0.248012055227503,0.0330232789001894,-0.330121603632628,0.0469748169817801
3,8,0.230821248171527,-0.0596167453078798,0.0352750845201884,-0.0977486909598336
4,8,0.212235890236769,0.110169581880631,-0.407879547547021,0.192095896792212
5,8,0.251393128694326,0.107604244494102,-0.198171834258117,0.182782708494235
6,8,0.173351007474806,0.0519261868912041,-0.405142068273572,0.0804331534918758
7,8,0.259825141370675,0.0684440966744656,-0.201782695826641,0.138132771026923
8,8,0.203798950737162,-0.0263311115035391,-0.467839225758159,-0.00905305920969442
9,8,0.243446557519859,0.102756745070657,-0.202086321397296,0.195908357114121
10,8,0.272890397006632,0.060235169833972,-0.0189317347754792,0.0913012715035857
1,9,-0.0424498327278953,0.0950591414683034,0.408690657892396,0.139100983584964
2,9,-0.00969312226435796,0.0939176391241516,0.445963680446692,0.165660435800334
3,9,-0.0338949561737912,-0.0181934978087545,0.240363724557826,-0.00973499101929222
4,9,-0.0317526034526557,0.0506115004078165,0.412431476726854,0.100532691148757
5,9,-0.0626518369765838,0.0124535491508294,0.577344761081785,0.0118101296203707
6,9,-0.0573011059156689,-0.013607666112824,0.327533988738395,0.0182011818351153
7,9,-0.084391755142678,-0.00580410008446938,0.381567149731089,-0.027284281274816
8,9,-0.0611685973599441,-0.0484028263257696,0.340359590797629,-0.0916991943725809
9,9,-0.0796219367682234,-0.0846540383494193,0.501545625553163,-0.14435687906441
10,9,-0.043463511429985,-0.067044029548453,0.398684263668573,-0.0786338974314515
1,10,-0.361733689464357,-0.331739352466262,-0.100491971010094,-0.49925779386512
2,10,-0.451735336022204,-0.0445502137856522,-0.886192502158253,-0.072786992540065
3,10,-0.411797446722265,-0.204217821785523,-0.847558786063463,-0.319748034455001
4,10,-0.405117822233676,-0.0574266097592833,-0.824861240024314,-0.0406281788573835
5,10,-0.395295846907363,-0.414295785009579,0.500691608362374,-0.672610891356582
6,10,-0.445565193297771,-0.222713184154408,-1.25328026927119,-0.329148622150465
7,10,-0.463865617942408,-0.102870352197997,-0.628220575034543,-0.178054472830976
8,10,-0.44980399715885,-0.172263080334414,-0.806502086049676,-0.228391887124688
9,10,-0.400416731293038,-0.410503406204371,0.16457352383356,-0.647480508859513
10,10,-0.443790360810239,-0.156866016959223,-0.924097936861392,-0.228014046005625
1,11,0.180949455787052,-0.0313432771512868,0.344800432134504,-0.0297984733345729
2,11,0.213915025760962,0.303110271628649,-0.177724798919334,0.497728727788671
3,11,0.233971287876297,0.370198030958903,-0.171311446843921,0.602400635305609
4,11,0.223162818071824,0.231298450589202,-0.0618308052126558,0.344012083678375
5,11,0.20287263532869,0.00997263559020797,0.61780520849328,0.00602327386188789
6,11,0.206569004484295,0.200359290670482,0.235269336972541,0.299657713239497
7,11,0.224706962063948,0.195724403727808,0.00181768751754216,0.327267090468798
8,11,0.21776719894001,-0.0525481358528951,0.721376193191317,-0.0851624798637042
9,11,0.227296031723624,0.0269260739536246,0.434467361316867,0.0401377128200658
10,11,0.188580039933279,0.31723438002612,-0.511598504979415,0.50645866716473
1,12,-0.0483790572546112,0.26054752087957,0.0125186965650057,0.475623931880922
2,12,-0.0685052992766437,0.226382008749883,-0.0359210887397127,0.34432782156637
3,12,-0.0771481821813397,0.235194158961017,-0.0171824423402888,0.382402645461704
4,12,-0.0404623926017462,0.271518901937438,0.301038717568848,0.446392728866749
5,12,-0.0422024273328713,0.13027055697388,0.399557968240604,0.259124078122198
6,12,-0.0615500393260246,0.122246523456968,0.707812693462897,0.180077632801356
7,12,-0.08238337067712,0.198194501976708,-0.166741523688497,0.30988323608772
8,12,0.00861711035587956,0.13381567761908,0.668261497520907,0.192121860492327
9,12,-0.0558726500088453,0.272143258671561,-0.280705739941576,0.421256879639667
10,12,-0.0397434121338546,0.0787890904930751,0.382397748000289,0.146952770707009
1,13,0.0423596997645975,-0.136123484249695,0.875508289612248,-0.196833900638307
2,13,0.03564537148207,-0.0627568923863329,0.786986802462175,-0.062271422971951
3,13,0.0327010038120062,0.062913384644822,0.0877218487434452,0.114422820728338
4,13,0.0635176943829431,0.0677193940645873,0.262138404586638,0.083963635991029
5,13,-0.00366604041519888,0.309689576035024,-0.734983539441211,0.482538856840379
6,13,0.0869599668200793,0.0218614219345585,0.739731340711911,0.0549808117995433
7,13,0.0307754852756636,0.085525368189221,0.304385890614256,0.116821021504934
8,13,0.00215776477415756,-0.00885756731698539,0.288589617702003,-0.0394085161170433
9,13,-0.0094789701419261,0.230054802264299,-0.211081545943127,0.411233576702661
10,13,0.023057100140777,0.0973478003825113,0.0967389506576471,0.111405423749089
1,14,0.158207402581926,0.134831508917773,-1.01173585343475,0.211501574491986
2,14,0.179868548347493,-0.354802662739555,1.31979753600948,-0.541049994551525
3,14,0.183114229664316,-0.363909147840832,1.44471068221985,-0.554769010446667
4,14,0.151416002770722,0.153598504670841,-1.06830670591049,0.222520877071815
5,14,0.181778736299451,0.1656458512652,-0.882356086870226,0.280137497683965
6,14,0.190644643767243,-0.318747011660229,1.60741452224293,-0.547602462458016
7,14,0.175389786646182,-0.347835158381292,1.72870460323274,-0.548716769355189
8,14,0.109748399421707,0.0388629941921155,-1.11628302446438,0.0488707675901446
9,14,0.149834496166687,0.143190202231053,-1.50457490036312,0.207208507734085
10,14,0.203843148841681,-0.279204096691705,1.2534321113999,-0.439583012414894
