iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
1,1472.04,1,5.16,21.01,5.51,25.66,1,1,1,1,0.998761,1,1
2,1453.52,1,5.29574,26.5172,7.05988,32.698,0.974679,0.974679,1.02509,0.974679,0.998761,0.974679,0.974679
3,1449.06,1,5.43011,24.1958,7.10544,30.017,0.95,0.95,1.02582,0.95,0.998761,0.95,0.95
4,1437.8,1,5.1613,23.4339,7.30714,29.0532,0.925945,0.925945,1.05619,0.925945,0.998761,0.925945,0.925945
5,1431.82,1,5.08235,24.7458,6.16304,30.6853,0.9025,0.9025,1.07903,0.9025,0.998761,0.9025,0.9025
6,1413.51,1,5.05967,23.7887,7.02508,29.5926,0.879648,0.879648,1.05171,0.879648,0.998761,0.879648,0.879648
7,1403.91,1,5.20401,23.0254,7.3969,28.6493,0.857375,0.857375,1.02508,0.857375,0.998761,0.857375,0.857375
8,1381.21,1,5.39298,24.89,6.97127,30.874,0.835666,0.835666,0.999126,0.835666,0.998761,0.835666,0.835666
9,1379.11,1,5.55016,29.5299,6.4075,36.7145,0.814506,0.814506,1.0745,0.814506,0.998761,0.814506,0.814506
10,1365.09,1,5.34756,29.2302,7.35731,36.4932,0.793882,0.793882,1.04729,0.793882,0.998761,0.793882,0.793882
11,1354.34,1,5.70011,29.6967,7.08263,36.8182,0.773781,0.773781,1.02078,0.773781,0.998761,0.773781,0.773781
12,1342.26,1,5.36825,26.1498,6.54168,32.2922,0.754188,0.754188,1.07723,0.754188,0.998761,0.754188,0.754188
13,1334.84,1,5.41537,28.5321,8.08564,35.0103,0.735092,0.735092,1.04996,0.735092,0.998761,0.735092,0.735092
14,1327.44,1,5.61865,29.6295,6.55347,36.5261,0.716479,0.716479,1.07084,0.716479,0.998761,0.716479,0.716479
15,1308.02,1,5.66229,28.0479,7.3814,34.604,0.698337,0.698337,1.04372,0.698337,0.998761,0.698337,0.698337
16,1306.17,1,5.39817,27.0273,7.97765,33.4424,0.680655,0.680655,1.01729,0.680655,0.998761,0.680655,0.680655
17,1287.7,1,5.4191,27.4667,6.51522,34.0237,0.66342,0.66342,1.03277,0.66342,0.998761,0.66342,0.66342
18,1278.71,1,5.47151,24.7234,6.85939,30.6084,0.646622,0.646622,1.00662,0.646622,0.998761,0.646622,0.646622
19,1268.12,1,5.63011,25.0647,7.60941,30.9329,0.630249,0.630249,1.04389,0.630249,0.998761,0.630249,0.630249
20,1252.61,1,5.66913,24.2961,8.70026,30.0008,0.614291,0.614291,1.01745,0.614291,0.998761,0.614291,0.614291
21,1234.28,1,5.59728,22.5949,9.52995,28.1202,0.598737,0.598737,0.991692,0.598737,0.998761,0.598737,0.598737
22,1222.61,1,5.82428,23.9969,8.17517,30.2084,0.583577,0.583577,0.966582,0.583577,0.998761,0.583577,0.583577
23,1208.08,1,5.66332,24.4843,7.07758,30.9562,0.5688,0.5688,0.942108,0.5688,0.998761,0.5688,0.5688
24,1195.09,1,5.66954,25.124,6.37631,31.6814,0.554398,0.554398,0.918253,0.554398,0.998761,0.554398,0.554398
25,1186.82,1,5.54737,23.6785,6.1641,29.8222,0.54036,0.54036,0.939712,0.54036,0.998761,0.54036,0.54036
26,1173.96,1,5.63783,23.546,7.06221,29.6653,0.526678,0.526678,0.915918,0.526678,0.998761,0.526678,0.526678
27,1168,1,5.76029,24.1137,8.69144,30.408,0.513342,0.513342,0.935022,0.513342,0.998761,0.513342,0.513342
28,1149.31,1,5.76812,23.7284,8.25735,29.7123,0.500344,0.500344,0.911347,0.500344,0.998761,0.500344,0.500344
