parameter,value,se_sa,rse_sa
Cl_pop,5.70119550061031,1.25855673722581,22.0753127495993
beta_Cl_logtWTKG,0.747200543954986,0.339333181039306,45.4139365642309
beta_Cl_tCLCRMLMIN,0.604538760956274,0.215339079639072,35.6203925284202
V1_pop,40.6314735159648,3.19496792427673,7.86328342983026
Q_pop,12.6602937986769,2.91266236607344,23.0062778351782
V2_pop,44.9705572473241,4.05826164164882,9.02426362948906
omega_Cl,0.18320605157313,0.0360164539202053,19.6589870317841
omega_V1,0.249372959656122,0.0517982801006523,20.7714100887605
omega_Q,0.689633847261771,0.180903976686542,26.23188774809
omega_V2,0.264019019588955,0.0560463688650751,21.2281558170819
corr_V2_V1,0.998101377896359,0.00431579508594788,0.432400473691764
a1,0.301736934075106,0.022552769701958,7.4743152577882
a2,0.0631709124703987,0.00659205359880324,10.4352673422158
