time,..2.5.,..50.,..50..1,..97.5.,group
72,0.2,0.2,0.2,0.2,1
72.121212,2.4,2.4,2.4,2.4,1
72.242424,4.5,4.5,4.5,4.5,1
72.363636,6.5,6.5,6.5,6.5,1
72.484848,8.3,8.3,8.3,8.3,1
72.606061,10.1,10.1,10.1,10.1,1
72.727273,11.7,11.7,11.7,11.7,1
72.848485,13.3,13.3,13.3,13.3,1
72.969697,14.8,14.8,14.8,14.8,1
73.090909,16.1,16.1,16.1,16.1,1
73.212121,17.4,17.4,17.4,17.4,1
73.333333,18.7,18.7,18.7,18.7,1
73.454545,19.8,19.8,19.8,19.8,1
73.575758,20.9,20.9,20.9,20.9,1
73.69697,21.9,21.9,21.9,21.9,1
73.818182,22.9,22.9,22.9,22.9,1
73.939394,23.8,23.8,23.8,23.8,1
74.060606,23.5,23.5,23.5,23.5,1
74.181818,22.2,22.2,22.2,22.2,1
74.30303,20.9,20.9,20.9,20.9,1
74.424242,19.7,19.7,19.7,19.7,1
74.545455,18.5,18.5,18.5,18.5,1
74.666667,17.5,17.5,17.5,17.5,1
74.787879,16.4,16.4,16.4,16.4,1
74.909091,15.5,15.5,15.5,15.5,1
75.030303,14.6,14.6,14.6,14.6,1
75.151515,13.7,13.7,13.7,13.7,1
75.272727,13,13,13,13,1
75.393939,12.2,12.2,12.2,12.2,1
75.515152,11.5,11.5,11.5,11.5,1
75.636364,10.8,10.8,10.8,10.8,1
75.757576,10.2,10.2,10.2,10.2,1
75.878788,9.6,9.6,9.6,9.6,1
76,9,9,9,9,1
76.121212,8.5,8.5,8.5,8.5,1
76.242424,8,8,8,8,1
76.363636,7.6,7.6,7.6,7.6,1
76.484848,7.1,7.1,7.1,7.1,1
76.606061,6.7,6.7,6.7,6.7,1
76.727273,6.3,6.3,6.3,6.3,1
76.848485,6,6,6,6,1
76.969697,5.6,5.6,5.6,5.6,1
77.090909,5.3,5.3,5.3,5.3,1
77.212121,5,5,5,5,1
77.333333,4.7,4.7,4.7,4.7,1
77.454545,4.4,4.4,4.4,4.4,1
77.575758,4.2,4.2,4.2,4.2,1
77.69697,3.9,3.9,3.9,3.9,1
77.818182,3.7,3.7,3.7,3.7,1
77.939394,3.5,3.5,3.5,3.5,1
78.060606,3.3,3.3,3.3,3.3,1
78.181818,3.1,3.1,3.1,3.1,1
78.30303,2.9,2.9,2.9,2.9,1
78.424242,2.7,2.7,2.7,2.7,1
78.545455,2.6,2.6,2.6,2.6,1
78.666667,2.4,2.4,2.4,2.4,1
78.787879,2.3,2.3,2.3,2.3,1
78.909091,2.2,2.2,2.2,2.2,1
79.030303,2,2,2,2,1
79.151515,1.9,1.9,1.9,1.9,1
79.272727,1.8,1.8,1.8,1.8,1
79.393939,1.7,1.7,1.7,1.7,1
79.515152,1.6,1.6,1.6,1.6,1
79.636364,1.5,1.5,1.5,1.5,1
79.757576,1.4,1.4,1.4,1.4,1
79.878788,1.3,1.3,1.3,1.3,1
80,1.3,1.3,1.3,1.3,1
80.121212,1.2,1.2,1.2,1.2,1
80.242424,1.1,1.1,1.1,1.1,1
80.363636,1.1,1.1,1.1,1.1,1
80.484848,1,1,1,1,1
80.606061,0.9,0.9,0.9,0.9,1
80.727273,0.9,0.9,0.9,0.9,1
80.848485,0.8,0.8,0.8,0.8,1
80.969697,0.8,0.8,0.8,0.8,1
81.090909,0.7,0.7,0.7,0.7,1
81.212121,0.7,0.7,0.7,0.7,1
81.333333,0.7,0.7,0.7,0.7,1
81.454545,0.6,0.6,0.6,0.6,1
81.575758,0.6,0.6,0.6,0.6,1
81.69697,0.5,0.5,0.5,0.5,1
81.818182,0.5,0.5,0.5,0.5,1
81.939394,0.5,0.5,0.5,0.5,1
82.060606,0.5,0.5,0.5,0.5,1
82.181818,0.4,0.4,0.4,0.4,1
82.30303,0.4,0.4,0.4,0.4,1
82.424242,0.4,0.4,0.4,0.4,1
82.545455,0.4,0.4,0.4,0.4,1
82.666667,0.3,0.3,0.3,0.3,1
82.787879,0.3,0.3,0.3,0.3,1
82.909091,0.3,0.3,0.3,0.3,1
83.030303,0.3,0.3,0.3,0.3,1
83.151515,0.3,0.3,0.3,0.3,1
83.272727,0.3,0.3,0.3,0.3,1
83.393939,0.2,0.2,0.2,0.2,1
83.515152,0.2,0.2,0.2,0.2,1
83.636364,0.2,0.2,0.2,0.2,1
83.757576,0.2,0.2,0.2,0.2,1
83.878788,0.2,0.2,0.2,0.2,1
84,0.2,0.2,0.2,0.2,1
72,1.7,1.7,1.7,1.7,2
72.121212,3.3,3.3,3.3,3.3,2
72.242424,4.8,4.8,4.8,4.8,2
72.363636,6.3,6.3,6.3,6.3,2
72.484848,7.7,7.7,7.7,7.7,2
72.606061,9.1,9.1,9.1,9.1,2
72.727273,10.5,10.5,10.5,10.5,2
72.848485,11.8,11.8,11.8,11.8,2
72.969697,13,13,13,13,2
73.090909,14.3,14.3,14.3,14.3,2
73.212121,15.4,15.4,15.4,15.4,2
73.333333,16.6,16.6,16.6,16.6,2
73.454545,17.7,17.7,17.7,17.7,2
73.575758,18.8,18.8,18.8,18.8,2
73.69697,19.9,19.9,19.9,19.9,2
73.818182,20.9,20.9,20.9,20.9,2
73.939394,21.9,21.9,21.9,21.9,2
74.060606,22,22,22,22,2
74.181818,21.3,21.3,21.3,21.3,2
74.30303,20.7,20.7,20.7,20.7,2
74.424242,20,20,20,20,2
74.545455,19.4,19.4,19.4,19.4,2
74.666667,18.8,18.8,18.8,18.8,2
74.787879,18.2,18.2,18.2,18.2,2
74.909091,17.7,17.7,17.7,17.7,2
75.030303,17.1,17.1,17.1,17.1,2
75.151515,16.6,16.6,16.6,16.6,2
75.272727,16.1,16.1,16.1,16.1,2
75.393939,15.6,15.6,15.6,15.6,2
75.515152,15.1,15.1,15.1,15.1,2
75.636364,14.7,14.7,14.7,14.7,2
75.757576,14.2,14.2,14.2,14.2,2
75.878788,13.8,13.8,13.8,13.8,2
76,13.4,13.4,13.4,13.4,2
76.121212,13,13,13,13,2
76.242424,12.6,12.6,12.6,12.6,2
76.363636,12.2,12.2,12.2,12.2,2
76.484848,11.8,11.8,11.8,11.8,2
76.606061,11.4,11.4,11.4,11.4,2
76.727273,11.1,11.1,11.1,11.1,2
76.848485,10.8,10.8,10.8,10.8,2
76.969697,10.4,10.4,10.4,10.4,2
77.090909,10.1,10.1,10.1,10.1,2
77.212121,9.8,9.8,9.8,9.8,2
77.333333,9.5,9.5,9.5,9.5,2
77.454545,9.2,9.2,9.2,9.2,2
77.575758,8.9,8.9,8.9,8.9,2
77.69697,8.6,8.6,8.6,8.6,2
77.818182,8.4,8.4,8.4,8.4,2
77.939394,8.1,8.1,8.1,8.1,2
78.060606,7.9,7.9,7.9,7.9,2
78.181818,7.6,7.6,7.6,7.6,2
78.30303,7.4,7.4,7.4,7.4,2
78.424242,7.2,7.2,7.2,7.2,2
78.545455,7,7,7,7,2
78.666667,6.7,6.7,6.7,6.7,2
78.787879,6.5,6.5,6.5,6.5,2
78.909091,6.3,6.3,6.3,6.3,2
79.030303,6.1,6.1,6.1,6.1,2
79.151515,6,6,6,6,2
79.272727,5.8,5.8,5.8,5.8,2
79.393939,5.6,5.6,5.6,5.6,2
79.515152,5.4,5.4,5.4,5.4,2
79.636364,5.3,5.3,5.3,5.3,2
79.757576,5.1,5.1,5.1,5.1,2
79.878788,4.9,4.9,4.9,4.9,2
80,4.8,4.8,4.8,4.8,2
80.121212,4.6,4.6,4.6,4.6,2
80.242424,4.5,4.5,4.5,4.5,2
80.363636,4.4,4.4,4.4,4.4,2
80.484848,4.2,4.2,4.2,4.2,2
80.606061,4.1,4.1,4.1,4.1,2
80.727273,4,4,4,4,2
80.848485,3.9,3.9,3.9,3.9,2
80.969697,3.7,3.7,3.7,3.7,2
81.090909,3.6,3.6,3.6,3.6,2
81.212121,3.5,3.5,3.5,3.5,2
81.333333,3.4,3.4,3.4,3.4,2
81.454545,3.3,3.3,3.3,3.3,2
81.575758,3.2,3.2,3.2,3.2,2
81.69697,3.1,3.1,3.1,3.1,2
81.818182,3,3,3,3,2
81.939394,2.9,2.9,2.9,2.9,2
82.060606,2.8,2.8,2.8,2.8,2
82.181818,2.7,2.7,2.7,2.7,2
82.30303,2.7,2.7,2.7,2.7,2
82.424242,2.6,2.6,2.6,2.6,2
82.545455,2.5,2.5,2.5,2.5,2
82.666667,2.4,2.4,2.4,2.4,2
82.787879,2.3,2.3,2.3,2.3,2
82.909091,2.3,2.3,2.3,2.3,2
83.030303,2.2,2.2,2.2,2.2,2
83.151515,2.1,2.1,2.1,2.1,2
83.272727,2.1,2.1,2.1,2.1,2
83.393939,2,2,2,2,2
83.515152,1.9,1.9,1.9,1.9,2
83.636364,1.9,1.9,1.9,1.9,2
83.757576,1.8,1.8,1.8,1.8,2
83.878788,1.8,1.8,1.8,1.8,2
84,1.7,1.7,1.7,1.7,2
72,0.1,0.1,0.1,0.1,3
72.121212,2.1,2.1,2.1,2.1,3
72.242424,3.9,3.9,3.9,3.9,3
72.363636,5.6,5.6,5.6,5.6,3
72.484848,7.2,7.2,7.2,7.2,3
72.606061,8.7,8.7,8.7,8.7,3
72.727273,10.1,10.1,10.1,10.1,3
72.848485,11.5,11.5,11.5,11.5,3
72.969697,12.7,12.7,12.7,12.7,3
73.090909,13.9,13.9,13.9,13.9,3
73.212121,14.9,14.9,14.9,14.9,3
73.333333,16,16,16,16,3
73.454545,16.9,16.9,16.9,16.9,3
73.575758,17.8,17.8,17.8,17.8,3
73.69697,18.6,18.6,18.6,18.6,3
73.818182,19.4,19.4,19.4,19.4,3
73.939394,20.1,20.1,20.1,20.1,3
74.060606,19.8,19.8,19.8,19.8,3
74.181818,18.6,18.6,18.6,18.6,3
74.30303,17.4,17.4,17.4,17.4,3
74.424242,16.3,16.3,16.3,16.3,3
74.545455,15.2,15.2,15.2,15.2,3
74.666667,14.3,14.3,14.3,14.3,3
74.787879,13.4,13.4,13.4,13.4,3
74.909091,12.5,12.5,12.5,12.5,3
75.030303,11.7,11.7,11.7,11.7,3
75.151515,11,11,11,11,3
75.272727,10.3,10.3,10.3,10.3,3
75.393939,9.6,9.6,9.6,9.6,3
75.515152,9,9,9,9,3
75.636364,8.4,8.4,8.4,8.4,3
75.757576,7.9,7.9,7.9,7.9,3
75.878788,7.4,7.4,7.4,7.4,3
