iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,b
1,783.325,1,5.2,0.62,21.22,4.99,28.28,1.5,1.5,1,0.62,0.3
2,776.363,1,5.44962,1.24326,29.5661,6.47764,78.477,1.46202,1.46202,0.974679,0.62,0.285
3,764.065,1,5.69535,0.685128,27.7847,8.69044,97.1153,1.425,1.425,0.989251,0.62,0.27075
4,764.292,1,4.93972,0.829202,27.437,7.90867,106.523,1.38892,1.38892,0.964203,0.62,0.257212
5,732.912,1,5.30013,0.606761,24.8435,7.98028,130.824,1.35375,1.35375,0.939788,0.62,0.244352
6,736.825,1,5.18162,0.84469,28.479,8.54631,124.283,1.31947,1.31947,0.915993,0.62,0.232134
7,726.947,1,5.02434,0.759053,26.4774,9.86526,161.956,1.28606,1.28606,0.892799,0.62,0.220528
8,697.37,1,4.86872,0.971431,29.6701,9.22418,170.56,1.2535,1.2535,0.870193,0.62,0.209501
9,700.521,1,4.52924,1.09826,26.681,8.64405,160.433,1.22176,1.22176,0.848159,0.62,0.199026
10,693.908,1,4.18858,1.11258,24.6485,8.20711,176.978,1.19082,1.19082,0.864309,0.62,0.189075
11,678.966,1,3.99915,1.22346,22.7192,8.34238,200.206,1.16067,1.16067,0.842424,0.62,0.179621
12,659.294,1,3.80226,0.730606,23.27,7.09921,210.685,1.13128,1.13128,0.821094,0.62,0.17064
13,661.035,1,3.61385,0.904024,23.844,7.45575,229.12,1.10264,1.10264,0.800303,0.62,0.162108
14,642.205,1,3.48774,0.728487,21.7575,7.8316,243.261,1.07472,1.07472,0.780039,0.62,0.154003
15,625.528,1,3.32204,0.872247,23.3483,6.92798,254.284,1.04751,1.04751,0.760288,0.62,0.146302
16,613.855,1,3.33126,0.646666,23.8798,7.25256,265.409,1.02098,1.02098,0.741037,0.62,0.138987
17,598.404,1,3.32158,0.630133,23.3392,6.78533,264.787,0.995131,0.995131,0.722274,0.62,0.132038
18,590.665,1,3.10762,0.84682,22.4469,7.18084,282.577,0.969933,0.969933,0.703985,0.62,0.125436
19,578.023,1,3.12267,0.577534,25.4945,5.81912,294.83,0.945374,0.945374,0.68616,0.62,0.119164
20,560.541,1,2.95385,0.744991,25.4645,5.66262,312.335,0.921437,0.921437,0.668786,0.62,0.113206
21,555.92,1,2.88506,0.812243,25.4157,5.37853,312.823,0.898105,0.898105,0.651852,0.62,0.107546
22,548.328,1,2.79979,0.704937,24.5703,5.82193,330.664,0.875365,0.875365,0.635347,0.62,0.102168
23,545.182,1,2.66762,0.71503,24.2742,5.83964,353.268,0.8532,0.8532,0.619259,0.62,0.0970601
24,526.054,1,2.81096,0.590164,26.2318,5.78558,357.684,0.831597,0.831597,0.603579,0.62,0.0922071
25,514.744,1,2.76206,0.569875,26.0167,5.56671,361.875,0.81054,0.81054,0.588296,0.62,0.0875967
26,508.624,1,2.56369,0.664141,25.1016,5.58008,376.718,0.790017,0.790017,0.5734,0.62,0.0832169
27,500.236,1,2.52865,0.887041,25.5826,5.79095,363.915,0.770013,0.770013,0.558882,0.62,0.079056
28,483.028,1,2.50666,0.926601,23.8858,5.47308,357.945,0.750516,0.750516,0.54473,0.62,0.0751032
29,466.741,1,2.64776,0.660788,23.5587,5.50079,355.987,0.731512,0.731512,0.530937,0.62,0.0713481
30,460.024,1,2.55173,0.72146,24.5232,5.84421,361.48,0.71299,0.71299,0.517494,0.62,0.0677807
31,451.54,1,2.55029,0.780221,23.861,5.21378,374.683,0.694937,0.694937,0.504391,0.62,0.0643916
32,445.089,1,2.53577,0.585389,24.468,5.44473,383.611,0.677341,0.677341,0.491619,0.62,0.061172
33,429.676,1,2.50679,0.693105,24.7081,5.1108,386.308,0.66019,0.66019,0.479171,0.62,0.0581134
34,416.424,1,2.58247,0.626562,25.1411,5.10789,387.515,0.643474,0.643474,0.467038,0.62,0.0552078
35,405.688,1,2.54083,0.598054,24.0482,5.31911,386.001,0.627181,0.627181,0.455212,0.62,0.0524474
36,397.099,1,2.55315,0.612099,24.9499,5.49831,391.58,0.6113,0.6113,0.443686,0.62,0.049825
37,388.356,1,2.55431,0.698815,25.7892,5.55722,392.804,0.595821,0.595821,0.432452,0.62,0.0473338
38,377.82,1,2.48705,0.625683,24.4747,5.58719,391.96,0.580735,0.580735,0.421502,0.62,0.0449671
39,367.678,1,2.48393,0.696635,24.9541,5.70267,391.042,0.56603,0.56603,0.410829,0.62,0.0427187
40,360.823,1,2.48132,0.898237,25.3327,5.6747,384.168,0.551698,0.551698,0.400427,0.62,0.0405828
41,359.534,1,2.39399,1.01715,24.7377,5.88913,384.768,0.537729,0.537729,0.390288,0.62,0.0385536
42,356.745,1,2.36138,0.980996,24.8009,5.98585,385.895,0.524113,0.524113,0.380405,0.62,0.036626
43,349.94,1,2.32515,1.11443,25.2888,6.25646,386.724,0.510842,0.510842,0.370773,0.62,0.0347947
44,335.982,1,2.37801,1.00253,24.7192,5.90124,384.307,0.497908,0.497908,0.361385,0.62,0.0330549
45,326.442,1,2.40243,1.00422,24.9136,5.84341,381.98,0.4853,0.4853,0.352235,0.62,0.0314022
46,319.886,1,2.46658,0.841801,24.7478,5.73227,377.877,0.473012,0.473012,0.343316,0.62,0.0298321
47,315.53,1,2.45717,0.767903,24.7334,5.79931,381.936,0.461035,0.461035,0.334623,0.62,0.0290866
48,315.487,1,2.4979,0.795737,24.8967,5.721,377.572,0.449362,0.449362,0.32615,0.62,0.029272
49,312.83,1,2.54579,0.754719,25.039,5.75578,376.761,0.437984,0.437984,0.317892,0.62,0.0291168
50,305.579,1,2.57841,0.703837,24.9858,5.71077,371.61,0.426894,0.426894,0.309843,0.62,0.0281401
51,312.754,1,2.54771,0.751726,24.7074,5.84455,369.288,0.416084,0.416084,0.301997,0.62,0.0290143
52,308.344,1,2.54405,0.772805,24.6382,5.83071,369.432,0.405549,0.405549,0.294351,0.62,0.028707
53,300.601,1,2.5586,0.733353,24.9131,5.78969,371.813,0.39528,0.39528,0.286897,0.62,0.0279822
54,302.25,1,2.54825,0.753785,24.7755,5.71992,371.377,0.385271,0.385271,0.279633,0.62,0.0283874
55,298.921,1,2.53822,0.751871,24.7641,5.58483,373.372,0.375516,0.375516,0.272553,0.62,0.0277074
56,301.929,1,2.53536,0.771504,24.7408,5.65782,373.226,0.366008,0.366008,0.265651,0.62,0.0280784
57,298.924,1,2.49864,0.858268,25.1605,5.91943,376.288,0.357617,0.35674,0.258925,0.62,0.0275933
