time,Q1,Q2,Q3
72,1.22975,2.9,5.33025
72.83,5.5795,7.88,10.93
73.66,7.7295,11.07,15.71225
74.48,7.3195,10.325,14.37
75.31,5.89925,8.25,11.68025
76.14,4.84925,7.025,9.9235
76.97,3.9595,6.12,8.97175
77.79,3.3195,5.455,8.24125
78.62,2.82975,4.9,7.591
79.45,2.43925,4.495,7.06
80.28,2.099,4.12,6.67025
81.1,1.83975,3.805,6.35075
81.93,1.62975,3.51,6.11025
82.76,1.45975,3.255,5.8105
83.59,1.2995,3.02,5.57
84.41,4.02,5.75,8.10225
85.24,6.8085,9.635,13.58175
86.07,8.30925,11.89,16.8805
86.9,6.529,9.21,12.85
87.72,5.33975,7.6,10.70425
88.55,4.38,6.55,9.45025
89.38,3.6095,5.78,8.67025
90.21,3.0595,5.165,7.912
91.03,2.62975,4.71,7.33025
91.86,2.24,4.32,6.93
92.69,1.96925,3.96,6.5905
93.52,1.72,3.66,6.29075
94.34,1.54,3.39,6.01175
95.17,1.36975,3.15,5.80025
96,1.23,2.93,5.54025
