time,Q1,Q2,Q3
72,4.61975,9.435,17.81125
72.83,17.16825,25.455,37.49025
73.66,25.32975,36.72,52.558
74.48,23.908,34.27,49.572
75.31,18.93875,27.425,39.50125
76.14,15.428,23.08,32.95175
76.97,12.75975,19.86,29.29525
77.79,10.96625,17.465,26.7445
78.62,9.4585,15.675,25.0015
79.45,8.189,14.215,23.7205
80.28,7.32675,12.995,22.462
81.1,6.47925,11.975,21.35
81.93,5.80975,11.16,20.37
82.76,5.318,10.435,19.382
83.59,4.82975,9.785,18.4045
84.41,11.82775,18.31,28.484
85.24,21.62,31.545,45.4905
86.07,27.3295,39.27,56.82325
86.9,21.1885,30.53,44.12275
87.72,17.1195,25.05,35.96175
88.55,13.91975,21.485,31.142
89.38,11.79975,18.61,28.34025
90.21,10.1495,16.575,25.962
91.03,8.77975,14.93,24.4405
91.86,7.67,13.605,23.23025
92.69,6.87875,12.505,22.0515
93.52,6.13,11.58,20.961
94.34,5.54875,10.82,19.96125
95.17,5.10775,10.14,18.92475
96,4.65925,9.505,18.092
